L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,0.656,11.8,-20.2,315,0.663,,,2.71,1.392,66.7,3,-1.911,1.957
0.9,0.718,16.0,-23.89,315,0.725,,,2.71,1.392,66.7,3,-1.911,1.957
1.0,0.767,20.7,-27.75,315,0.775,,,2.71,1.392,66.7,3,-1.911,1.957
1.1,0.808,25.9,-31.77,315,0.817,,,2.71,1.392,66.7,3,-1.911,1.957
1.2,0.806,28.7,-35.18,315,0.814,,,2.733,1.39,66.7,3,-2.015,1.957
1.3,0.79,30.6,-38.64,315,0.799,,,2.773,1.375,66.7,3,-2.138,1.957
1.4,0.782,32.5,-42.13,315,0.79,,,2.812,1.361,66.7,3,-2.286,1.957
1.5,0.772,33.8,-45.65,315,0.78,,,2.85,1.348,66.7,3,-2.416,1.957
1.6,0.777,35.9,-48.62,315,0.785,,,2.884,1.335,66.7,3,-2.531,1.957
1.7,0.793,38.7,-51.27,315,0.801,,,2.915,1.321,66.7,3,-2.61,1.957
1.8,0.803,40.8,-54.11,315,0.811,,,2.944,1.307,66.7,3,-2.673,1.957
1.9,0.81,42.1,-56.96,315,0.818,,,2.972,1.294,66.7,3,-2.73,1.957
2.0,0.815,42.6,-59.79,315,0.823,,,2.999,1.281,66.7,3,-2.782,1.957
2.1,0.818,42.0,-62.57,315,0.826,,,3.025,1.268,66.7,3,-2.828,1.957
2.2,0.819,40.4,-65.3,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.3,0.819,38.9,-67.01,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.4,0.819,37.0,-68.65,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.5,0.819,34.9,-70.22,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.6,0.819,32.5,-71.72,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.7,0.819,29.9,-73.14,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.8,0.819,27.1,-74.5,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
2.9,0.819,24.0,-75.94,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
3.0,0.819,20.7,-77.36,315,0.828,,,3.05,1.256,66.7,3,-2.87,1.957
