date,type,start_usd,margin_usd,lev,invested_usd,trade_vol_usd,taker_fee_usd,funding_usd,end_usd,ret_gross_pct,ret_net_pct,net_pnl_usd
2025-02-13,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-14,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-15,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-16,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-17,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-18,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-19,no_entry,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0
2025-02-20,active,100000.0,100000.0,1.1,110000.0,220000.0,88.0,22.0,113488.75,13.5987,13.4887,13488.75
2025-02-21,active,113488.75,113488.75,1.1,124837.63,249675.25,99.8701,24.9675,106713.19,-5.8603,-5.9703,-6775.56
2025-02-22,no_entry,106713.19,0.0,0.0,0.0,0.0,0.0,0.0,106713.19,0.0,0.0,0.0
2025-02-23,no_entry,106713.19,0.0,0.0,0.0,0.0,0.0,0.0,106713.19,0.0,0.0,0.0
2025-02-24,no_entry,106713.19,0.0,0.0,0.0,0.0,0.0,0.0,106713.19,0.0,0.0,0.0
2025-02-25,no_entry,106713.19,0.0,0.0,0.0,0.0,0.0,0.0,106713.19,0.0,0.0,0.0
2025-02-26,active,106713.19,106713.19,1.1,117384.51,234769.01,93.9076,23.4769,116978.46,9.7295,9.6195,10265.28
2025-02-27,no_entry,116978.46,0.0,0.0,0.0,0.0,0.0,0.0,116978.46,0.0,0.0,0.0
2025-02-28,active,116978.46,116978.46,1.1,128676.31,257352.62,102.941,25.7353,118181.59,1.1385,1.0285,1203.12
2025-03-01,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-02,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-03,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-04,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-05,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-06,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-07,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-08,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-09,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-10,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-11,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-12,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-13,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-14,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-15,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-16,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-17,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-18,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-19,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-20,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-21,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-22,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-23,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-24,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-25,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-26,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-27,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-28,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-29,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-30,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-03-31,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-01,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-02,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-03,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-04,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-05,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-06,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-07,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-08,flat,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-09,no_entry,118181.59,0.0,0.0,0.0,0.0,0.0,0.0,118181.59,0.0,0.0,0.0
2025-04-10,active,118181.59,118181.59,1.1,129999.75,259999.49,103.9998,25.9999,116130.84,-1.6252,-1.7352,-2050.75
2025-04-11,no_entry,116130.84,0.0,0.0,0.0,0.0,0.0,0.0,116130.84,0.0,0.0,0.0
2025-04-12,active,116130.84,116130.84,1.1,127743.92,255487.85,102.1951,25.5488,126688.88,9.2015,9.0915,10558.04
2025-04-13,active,126688.88,126688.88,1.1,139357.76,278715.53,111.4862,27.8716,124939.94,-1.2705,-1.3805,-1748.94
2025-04-14,no_entry,124939.94,0.0,0.0,0.0,0.0,0.0,0.0,124939.94,0.0,0.0,0.0
2025-04-15,no_entry,124939.94,0.0,0.0,0.0,0.0,0.0,0.0,124939.94,0.0,0.0,0.0
2025-04-16,no_entry,124939.94,0.0,0.0,0.0,0.0,0.0,0.0,124939.94,0.0,0.0,0.0
2025-04-17,active,124939.94,124939.94,1.1,137433.93,274867.86,109.9471,27.4868,133904.06,7.2847,7.1747,8964.13
2025-04-18,no_entry,133904.06,0.0,0.0,0.0,0.0,0.0,0.0,133904.06,0.0,0.0,0.0
2025-04-19,active,133904.06,133904.06,1.1,147294.47,294588.94,117.8356,29.4589,145120.54,8.4865,8.3765,11216.47
2025-04-20,no_entry,145120.54,0.0,0.0,0.0,0.0,0.0,0.0,145120.54,0.0,0.0,0.0
2025-04-21,no_entry,145120.54,0.0,0.0,0.0,0.0,0.0,0.0,145120.54,0.0,0.0,0.0
2025-04-22,no_entry,145120.54,0.0,0.0,0.0,0.0,0.0,0.0,145120.54,0.0,0.0,0.0
2025-04-23,active,145120.54,145120.54,1.1,159632.59,319265.18,127.7061,31.9265,152842.76,5.4313,5.3213,7722.23
2025-04-24,active,152842.76,152842.76,1.1,168127.04,336254.08,134.5016,33.6254,168398.72,10.2878,10.1778,15555.95
2025-04-25,no_entry,168398.72,0.0,0.0,0.0,0.0,0.0,0.0,168398.72,0.0,0.0,0.0
2025-04-26,no_entry,168398.72,0.0,0.0,0.0,0.0,0.0,0.0,168398.72,0.0,0.0,0.0
2025-04-27,active,168398.72,168398.72,1.1,185238.59,370477.18,148.1909,37.0477,157826.23,-6.1682,-6.2782,-10572.49
2025-04-28,active,157826.23,157826.23,1.1,173608.85,347217.7,138.8871,34.7218,147661.43,-6.3305,-6.4405,-10164.8
2025-04-29,no_entry,147661.43,0.0,0.0,0.0,0.0,0.0,0.0,147661.43,0.0,0.0,0.0
2025-04-30,active,147661.43,147661.43,1.1,162427.57,324855.14,129.9421,32.4855,159555.19,8.1648,8.0548,11893.76
2025-05-01,no_entry,159555.19,0.0,0.0,0.0,0.0,0.0,0.0,159555.19,0.0,0.0,0.0
2025-05-02,no_entry,159555.19,0.0,0.0,0.0,0.0,0.0,0.0,159555.19,0.0,0.0,0.0
2025-05-03,no_entry,159555.19,0.0,0.0,0.0,0.0,0.0,0.0,159555.19,0.0,0.0,0.0
2025-05-04,no_entry,159555.19,0.0,0.0,0.0,0.0,0.0,0.0,159555.19,0.0,0.0,0.0
2025-05-05,no_entry,159555.19,0.0,0.0,0.0,0.0,0.0,0.0,159555.19,0.0,0.0,0.0
2025-05-06,active,159555.19,159555.19,1.1,175510.71,351021.41,140.4086,35.1021,154895.38,-2.8105,-2.9205,-4659.81
2025-05-07,active,154895.38,154895.38,1.1,170384.92,340769.83,136.3079,34.077,172551.51,11.5087,11.3987,17656.14
2025-05-08,active,172551.51,172551.51,1.1,189806.67,379613.33,151.8453,37.9613,188803.71,9.5288,9.4188,16252.2
2025-05-09,no_entry,188803.71,0.0,0.0,0.0,0.0,0.0,0.0,188803.71,0.0,0.0,0.0
2025-05-10,active,188803.71,188803.71,1.1,207684.08,415368.16,166.1473,41.5368,191545.14,1.562,1.452,2741.43
2025-05-11,no_entry,191545.14,0.0,0.0,0.0,0.0,0.0,0.0,191545.14,0.0,0.0,0.0
2025-05-12,active,191545.14,191545.14,1.1,210699.65,421399.31,168.5597,42.1399,205309.1,7.2957,7.1857,13763.95
2025-05-13,no_entry,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-14,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-15,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-16,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-17,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-18,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-19,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-20,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-21,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-22,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-23,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-24,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-25,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-26,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-27,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-28,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-29,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-30,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-05-31,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-01,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-02,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-03,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-04,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-05,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-06,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-07,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-08,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-09,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-10,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-11,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-12,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-13,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-14,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-15,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-16,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-17,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-18,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-19,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-20,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-21,flat,205309.1,0.0,0.0,0.0,0.0,0.0,0.0,205309.1,0.0,0.0,0.0
2025-06-22,active,205309.1,205309.1,1.1,225840.01,451680.01,180.672,45.168,214754.85,4.7107,4.6008,9445.76
2025-06-23,no_entry,214754.85,0.0,0.0,0.0,0.0,0.0,0.0,214754.85,0.0,0.0,0.0
2025-06-24,no_entry,214754.85,0.0,0.0,0.0,0.0,0.0,0.0,214754.85,0.0,0.0,0.0
2025-06-25,active,214754.85,214754.85,1.1,236230.34,472460.68,188.9843,47.2461,209847.17,-2.1753,-2.2853,-4907.69
2025-06-26,active,209847.17,209847.17,1.1,230831.89,461663.77,184.6655,46.1664,210360.77,0.3548,0.2448,513.6
2025-06-27,no_entry,210360.77,0.0,0.0,0.0,0.0,0.0,0.0,210360.77,0.0,0.0,0.0
2025-06-28,active,210360.77,210360.77,1.1,231396.85,462793.69,185.1175,46.2794,220623.22,4.9885,4.8785,10262.45
2025-06-29,no_entry,220623.22,0.0,0.0,0.0,0.0,0.0,0.0,220623.22,0.0,0.0,0.0
2025-06-30,no_entry,220623.22,0.0,0.0,0.0,0.0,0.0,0.0,220623.22,0.0,0.0,0.0
