n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.4621,17038.63,-49.125,0.0,0.0
1,53.7%,3.3244,11594.35,-49.125,-0.1377,-5444.28
3,"53.7%, 53.5%, 50.2%",3.0342,5434.97,-50.17,-0.4279,-11603.65
5,"53.7%, 53.5%, 50.2%, 48.9%, 42.3%",2.7331,2714.02,-50.17,-0.729,-14324.61
10,"53.7%, 53.5%, 50.2%, 48.9%, 42.3% … +5 more",1.9735,586.96,-50.17,-1.4886,-16451.66
