EARLY_KILL_X,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
15,0.0,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.0005,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.0008,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.001,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.0015,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.002,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.0025,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
15,0.003,2.2393,1422.52,-82.139,-39.225,17.318,0.876,False
20,0.0,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.0005,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.0008,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.001,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.0015,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.002,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.0025,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
20,0.003,1.8832,594.75,-86.22,-37.485,6.898,0.8552,False
25,0.0,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.0005,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.0008,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.001,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.0015,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.002,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.0025,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
25,0.003,2.6458,3362.62,-64.252,-37.065,52.335,0.236,False
30,0.0,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.0005,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.0008,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.001,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.0015,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.002,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.0025,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
30,0.003,2.8346,5122.14,-50.394,-39.915,101.642,0.4959,False
35,0.0,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.0005,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.0008,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.001,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.0015,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.002,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.0025,3.741,20795.32,-38.87,-24.009,534.992,0.4334,False
35,0.003,3.741,20795.32,-38.87,-24.009,534.992,0.4334,True
40,0.0,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.0005,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.0008,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.001,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.0015,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.002,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.0025,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
40,0.003,2.9661,6069.13,-60.373,-22.965,100.527,0.5564,False
45,0.0,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.0005,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.0008,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.001,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.0015,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.002,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.0025,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
45,0.003,3.2056,9882.24,-55.458,-24.783,178.193,0.5443,False
50,0.0,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.0005,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.0008,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.001,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.0015,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.002,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.0025,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
50,0.003,2.8738,5224.95,-58.047,-33.989,90.012,0.6159,False
