Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.537,4.3,20.0,✓
5,5,2.4856,19.7,45.0,✓
10,11,4.6171,36.6,65.0,✓
20,22,7.7089,61.1,,
25,28,9.1796,72.8,,
