drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.786,2306.8,-38.58,101,297,0.714,2.939,88.9,1
0.023,1.4,2.826,2564.4,-38.71,104,294,0.78,2.996,77.8,2
0.024,1.4,2.826,2564.4,-38.71,104,294,0.78,2.996,77.8,2
0.025,1.4,2.797,2447.2,-38.71,105,293,0.793,2.95,77.8,2
0.026,1.4,2.797,2447.2,-38.71,105,293,0.793,2.95,77.8,2
0.027,1.4,2.793,2451.8,-38.71,109,289,0.798,2.931,77.8,2
0.028,1.4,2.793,2451.8,-38.71,109,289,0.798,2.931,77.8,2
0.029,1.4,2.883,2868.8,-38.71,110,288,0.791,3.068,77.8,2
0.03,1.4,3.002,3576.0,-38.71,111,287,0.791,3.068,77.8,2
0.031,1.4,2.947,3282.9,-38.71,112,286,0.791,3.068,77.8,2
0.032,1.4,2.947,3282.9,-38.71,112,286,0.791,3.068,77.8,2
0.033,1.4,2.942,3273.9,-43.27,114,284,0.791,3.068,77.8,2
0.034,1.4,2.942,3273.9,-43.27,114,284,0.791,3.068,77.8,2
0.035,1.4,2.942,3273.9,-43.27,114,284,0.791,3.068,77.8,2
0.04,1.4,2.919,3254.8,-43.27,116,282,0.752,3.044,77.8,2
