blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.4621,17038.63,-49.125,0.0,0.0
1,+289.2%,2.9316,4829.03,-58.561,-0.5305,-12209.6
2,"+289.2%, +150.6%",2.5216,2022.55,-58.561,-0.9405,-15016.08
3,"+289.2%, +150.6%, +83.4%",2.2168,1117.26,-58.561,-1.2453,-15921.37
