shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.4621,17038.63,-49.125,0.0,0.0,True
-10.0,1,3.4469,16559.78,-50.673,-0.0152,-1.548,False
-10.0,3,3.3452,13632.26,-60.045,-0.1169,-10.92,False
-10.0,5,3.2443,11219.18,-67.637,-0.2178,-18.512,False
-20.0,1,3.3883,14854.02,-56.154,-0.0738,-7.029,False
-20.0,3,3.1728,9831.35,-71.938,-0.2893,-22.813,False
-20.0,5,2.9624,6495.67,-82.041,-0.4997,-32.916,False
-30.0,1,3.3227,13130.44,-61.635,-0.1394,-12.51,False
-30.0,3,2.9855,6777.93,-81.201,-0.4766,-32.076,False
-30.0,5,2.6642,3475.54,-90.788,-0.7979,-41.663,False
-40.0,1,3.251,11386.25,-67.115,-0.2111,-17.99,False
-40.0,3,2.7882,4400.59,-88.162,-0.6739,-39.037,False
-40.0,5,2.3612,1663.44,-95.738,-1.1009,-46.613,False
