aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.61167,1.22334,2.8708,-0.5913,4898.54,-52.03,94.14,Excellent
143844,0.7336,1.46721,2.7501,-0.712,3802.8,-52.6,72.3,Excellent
206913,0.87985,1.7597,2.6042,-0.8579,2798.22,-53.32,52.48,Excellent
297635,1.05526,2.11051,2.4275,-1.0346,1925.89,-54.59,35.28,Institutional
428133,1.26563,2.53125,2.2134,-1.2487,1216.33,-56.07,21.69,Institutional
615848,1.51793,3.03587,1.9538,-1.5083,682.92,-57.79,11.82,Survival
885866,1.82054,3.64108,1.6387,-1.8234,318.35,-59.77,5.33,Survival
1274274,2.18347,4.36694,1.2562,-2.2059,96.27,-62.05,1.55,Marginal
1832980,2.61875,5.23751,0.7925,-2.6696,-21.42,-81.83,-0.26,Unusable
2636650,3.14081,6.28163,0.2317,-3.2304,-74.07,-93.46,-0.79,Unusable
3792690,3.76695,7.53389,-0.4425,-3.9046,-93.25,-98.11,-0.95,Unusable
5455594,4.5179,9.0358,-1.2451,-4.7072,-98.69,-99.61,-0.99,Unusable
7847599,5.41856,10.83713,-2.185,-5.6471,-99.82,-99.94,-1.0,Unusable
11288378,6.49878,12.99755,-3.2589,-6.721,-99.98,-100.0,-1.0,Unusable
16237767,7.79433,15.58867,-4.4427,-7.9048,-100.0,-100.0,-1.0,Unusable
23357214,9.34816,18.69633,-5.6867,-9.1488,-100.0,-100.0,-1.0,Unusable
33598182,11.21176,22.42352,-6.919,-10.3811,-100.0,-100.0,-1.0,Unusable
48329302,13.44687,26.89373,-8.0612,-11.5233,-100.0,-100.0,-1.0,Unusable
69519279,16.12755,32.2551,-9.05,-12.5121,-100.0,-100.0,-1.0,Unusable
100000000,19.34264,38.68529,-9.854,-13.3161,-100.0,-100.0,-1.0,Unusable
