window_days,min_cum_ret,start_idx,end_idx
1,-0.320550,200,200
3,-0.392306,198,200
7,-0.442896,38,44
14,-0.584122,34,47
21,-0.484556,180,200
30,-0.595931,173,202
40,-0.310106,161,200
50,-0.355181,158,207
60,0.048844,145,204
70,0.522394,136,205
80,0.814646,121,200
90,0.814646,117,206
100,0.936024,104,203
