period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.153266,0.019056,0.20676,-0.09669,0.537,-0.32055,61,52
weekly,56,0.553571,0.136135,0.306987,-0.126203,1.228815,-0.369305,31,15
monthly,13,0.692308,0.688369,1.049629,-0.124466,2.891763,-0.144918,9,4
