Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,-0.0169,0.7471,-0.1008,0.0536,367,
AvgDailyRet%,delta,1,-0.047,0.369,-0.0948,0.0695,367,
Sharpe,delta,1,-0.014,0.7893,-0.07,0.1806,367,
CAGR%,delta,1,-0.0311,0.5523,-0.0608,0.2452,367,
Sharpe,level,1,-0.0147,0.7782,0.0539,0.302,368,
Calmar,level,1,-0.067,0.1998,0.0429,0.4115,368,
CAGR%,level,1,-0.0514,0.3258,0.037,0.4795,368,
Sortino,level,1,0.0111,0.8323,0.036,0.4911,368,
AvgDailyRet%,level,1,-0.0384,0.4624,0.0319,0.5422,368,
Calmar,delta,1,-0.0319,0.5424,-0.0283,0.5893,367,
Sharpe,level,3,-0.0222,0.6722,0.1327,0.0111,366,yes
Calmar,level,3,-0.0745,0.1548,0.1184,0.0235,366,yes
Sortino,level,3,0.035,0.5049,0.1086,0.0379,366,yes
CAGR%,level,3,-0.0694,0.1855,0.0939,0.0727,366,
AvgDailyRet%,delta,3,-0.0782,0.1359,-0.0858,0.1016,365,
AvgDailyRet%,level,3,-0.0545,0.2984,0.0845,0.1063,366,
Sortino,delta,3,-0.0376,0.4735,-0.0841,0.1085,365,
Sharpe,delta,3,-0.0507,0.3342,-0.0566,0.2811,365,
CAGR%,delta,3,-0.0137,0.7947,-0.0464,0.3766,365,
Calmar,delta,3,-0.0289,0.5826,-0.0418,0.4261,365,
Sortino,level,5,0.0829,0.1142,0.1491,0.0044,364,yes
Sharpe,level,5,-0.0193,0.7139,0.149,0.0044,364,yes
Calmar,level,5,-0.0795,0.1299,0.1255,0.0166,364,yes
CAGR%,level,5,-0.0894,0.0886,0.1087,0.0381,364,yes
AvgDailyRet%,level,5,-0.0586,0.2648,0.1068,0.0417,364,yes
Sortino,delta,5,-0.0781,0.1375,-0.0875,0.0961,363,
AvgDailyRet%,delta,5,-0.0162,0.7588,-0.072,0.1711,363,
Sharpe,delta,5,-0.0206,0.6963,-0.0405,0.4422,363,
CAGR%,delta,5,-0.0102,0.8465,-0.0265,0.6148,363,
Calmar,delta,5,-0.0228,0.6655,-0.025,0.6348,363,
