Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,level,1,-0.0782,0.1293,-0.0956,0.0635,378,
Calmar,delta,1,0.0252,0.6454,0.0518,0.3445,335,
Calmar,level,1,0.0114,0.8352,-0.0509,0.3527,336,
CAGR%,level,1,0.0174,0.7363,-0.0506,0.3268,378,
CAGR%,delta,1,0.0207,0.6885,0.0451,0.3825,377,
AvgDailyRet%,level,1,-0.0764,0.1381,-0.0403,0.4343,378,
Sharpe,delta,1,-0.0459,0.3771,0.0366,0.4818,372,
Sharpe,level,1,-0.0853,0.1001,-0.0302,0.561,373,
Sortino,delta,1,-0.0071,0.8911,0.0286,0.5797,377,
AvgDailyRet%,delta,1,-0.0423,0.4124,0.021,0.6842,377,
Sortino,level,3,-0.1217,0.0182,-0.1597,0.0019,376,yes
CAGR%,level,3,0.0053,0.9191,-0.0994,0.0541,376,
Sharpe,delta,3,0.0135,0.7951,0.0878,0.0916,370,
AvgDailyRet%,level,3,-0.1227,0.0173,-0.0844,0.1022,376,
Sharpe,level,3,-0.1289,0.0129,-0.0771,0.1385,371,
Calmar,level,3,-0.0011,0.9846,-0.0705,0.199,334,
AvgDailyRet%,delta,3,0.0176,0.7342,0.059,0.2546,375,
Sortino,delta,3,-0.0347,0.5033,0.0567,0.2733,375,
CAGR%,delta,3,0.0169,0.7448,0.0491,0.3428,375,
Calmar,delta,3,0.0042,0.9384,0.0203,0.7123,333,
Sortino,level,5,-0.1387,0.0072,-0.2084,0.0,374,yes
CAGR%,level,5,-0.004,0.9382,-0.1393,0.007,374,yes
AvgDailyRet%,level,5,-0.1665,0.0012,-0.1243,0.0162,374,yes
Sharpe,level,5,-0.1679,0.0012,-0.1157,0.0263,369,yes
Calmar,level,5,-0.0045,0.9354,-0.0916,0.0958,332,
Sortino,delta,5,-0.0456,0.38,-0.0295,0.5707,373,
CAGR%,delta,5,0.012,0.8176,-0.0283,0.5859,373,
AvgDailyRet%,delta,5,0.0063,0.903,-0.0137,0.7913,373,
Calmar,delta,5,0.0115,0.8346,0.0055,0.921,331,
Sharpe,delta,5,-0.0069,0.8949,-0.0006,0.9911,368,
