Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0473,0.3657,0.0341,0.5139,368,
AvgDailyRet%,level,1,-0.0054,0.9181,0.0339,0.517,368,
Sortino,level,1,-0.0035,0.9461,0.0335,0.5218,368,
Sharpe,level,1,-0.0151,0.7724,0.0256,0.624,368,
CAGR%,delta,1,0.0349,0.505,0.0172,0.7423,367,
Sortino,delta,1,0.0295,0.5726,0.0105,0.841,367,
Calmar,level,1,-0.0451,0.3879,0.0093,0.8587,368,
AvgDailyRet%,delta,1,0.0382,0.4651,0.0072,0.89,367,
Sharpe,delta,1,-0.0033,0.9492,-0.0068,0.8974,367,
Calmar,delta,1,0.0366,0.4847,0.0007,0.9896,367,
CAGR%,delta,3,0.021,0.6896,0.0363,0.4895,365,
AvgDailyRet%,delta,3,0.0264,0.6154,0.0327,0.533,365,
Sortino,delta,3,0.0413,0.4313,0.0321,0.5414,365,
Sharpe,delta,3,0.0117,0.8232,0.0206,0.6951,365,
CAGR%,level,3,-0.0996,0.0571,0.0199,0.7045,366,
AvgDailyRet%,level,3,-0.0191,0.7159,0.019,0.7177,366,
Calmar,delta,3,0.0228,0.6639,0.0171,0.7452,365,
Sortino,level,3,-0.0195,0.7107,0.0124,0.813,366,
Calmar,level,3,-0.0979,0.0615,0.0111,0.8322,366,
Sharpe,level,3,-0.027,0.607,0.0086,0.8699,366,
Sortino,delta,5,0.0592,0.2604,0.0347,0.51,363,
CAGR%,level,5,-0.1374,0.0087,0.0338,0.5204,364,
CAGR%,delta,5,0.0076,0.8854,0.0337,0.5224,363,
AvgDailyRet%,level,5,-0.0246,0.6394,0.0335,0.5239,364,
Calmar,delta,5,0.0086,0.871,0.0333,0.5271,363,
AvgDailyRet%,delta,5,0.0297,0.573,0.0247,0.6388,363,
Sortino,level,5,-0.0327,0.5336,0.0227,0.666,364,
Calmar,level,5,-0.1358,0.0095,0.0217,0.6793,364,
Sharpe,level,5,-0.041,0.4353,0.0188,0.721,364,
Sharpe,delta,5,0.0407,0.4398,0.0179,0.7343,363,
