n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.4849,16402.18,-50.034,0.0,0.0
1,53.5%,3.3475,11171.14,-50.17,-0.1374,-5231.04
3,"53.5%, 49.4%, 48.9%",3.0613,5415.29,-50.17,-0.4236,-10986.89
5,"53.5%, 49.4%, 48.9%, 42.3%, 39.1%",2.7752,2883.96,-50.17,-0.7097,-13518.22
10,"53.5%, 49.4%, 48.9%, 42.3%, 39.1% … +5 more",2.0172,631.29,-61.585,-1.4677,-15770.89
