Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,delta,1,0.1119,0.0298,0.082,0.1118,377,
AvgDailyRet%,delta,1,0.076,0.141,0.0731,0.1568,377,
CAGR%,delta,1,-0.0003,0.9959,0.0646,0.211,377,
Sortino,delta,1,0.0803,0.1198,0.0585,0.2572,377,
Calmar,delta,1,-0.0726,0.1717,0.0506,0.3407,356,
Sortino,level,1,-0.0421,0.4149,-0.0367,0.4764,378,
CAGR%,level,1,-0.0783,0.1286,-0.0365,0.4796,378,
AvgDailyRet%,level,1,-0.0351,0.4962,-0.0325,0.5291,378,
Sharpe,level,1,-0.0183,0.7235,-0.0286,0.5798,378,
Calmar,level,1,-0.055,0.3003,-0.0211,0.6917,357,
Calmar,delta,3,-0.0603,0.258,0.0668,0.21,354,
Sortino,delta,3,0.0037,0.9432,0.0637,0.2186,375,
Sortino,level,3,-0.0968,0.0608,-0.0636,0.2184,376,
AvgDailyRet%,delta,3,0.0372,0.4721,0.0583,0.2601,375,
CAGR%,level,3,-0.1294,0.012,-0.0577,0.2646,376,
Sharpe,delta,3,0.0827,0.1097,0.0534,0.3021,375,
AvgDailyRet%,level,3,-0.0923,0.0739,-0.0524,0.3113,376,
CAGR%,delta,3,-0.0383,0.4592,0.0515,0.3195,375,
Sharpe,level,3,-0.0818,0.1132,-0.0482,0.3517,376,
Calmar,level,3,-0.0954,0.0725,-0.044,0.4086,355,
Sortino,level,5,-0.1124,0.0297,-0.0822,0.1125,374,
CAGR%,level,5,-0.1186,0.0218,-0.0635,0.2207,374,
Calmar,level,5,-0.1181,0.0265,-0.0624,0.2422,353,
Calmar,delta,5,-0.0379,0.4785,0.0574,0.2825,352,
AvgDailyRet%,level,5,-0.1195,0.0208,-0.0563,0.2773,374,
Sharpe,level,5,-0.1249,0.0156,-0.0517,0.3187,374,
AvgDailyRet%,delta,5,0.037,0.4768,0.0491,0.3446,373,
Sharpe,delta,5,0.0756,0.1453,0.0459,0.3764,373,
CAGR%,delta,5,-0.0515,0.3214,0.0416,0.4234,373,
Sortino,delta,5,0.001,0.9851,0.0326,0.5304,373,
