Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
AvgDailyRet%,level,1,0.0476,0.3558,0.08,0.1203,378,
CAGR%,level,1,0.0261,0.6135,0.0698,0.1758,378,
Calmar,level,1,0.0113,0.8327,0.059,0.2699,352,
Sortino,level,1,0.0084,0.8701,0.0557,0.28,378,
Sharpe,level,1,0.065,0.2096,0.0505,0.3302,374,
Sortino,delta,1,0.0287,0.5788,0.0407,0.4306,377,
CAGR%,delta,1,0.046,0.3734,-0.0225,0.6631,377,
Calmar,delta,1,0.0347,0.5164,0.0212,0.6921,351,
AvgDailyRet%,delta,1,-0.027,0.6017,-0.0133,0.7967,377,
Sharpe,delta,1,0.0383,0.4611,-0.0085,0.87,373,
AvgDailyRet%,level,3,0.0818,0.1134,0.1193,0.0207,376,yes
CAGR%,level,3,-0.011,0.8312,0.1019,0.0484,376,yes
CAGR%,delta,3,0.0439,0.3966,0.0856,0.0977,375,
Calmar,delta,3,0.0221,0.6804,0.0836,0.1191,349,
Sharpe,delta,3,0.0546,0.2938,0.0754,0.1472,371,
AvgDailyRet%,delta,3,0.0202,0.6969,0.0733,0.1564,375,
Sharpe,level,3,0.0903,0.0818,0.0723,0.1642,372,
Sortino,delta,3,0.0609,0.2394,0.0692,0.1814,375,
Calmar,level,3,-0.0216,0.6875,0.0607,0.2575,350,
Sortino,level,3,-0.0239,0.6442,0.0568,0.2723,376,
AvgDailyRet%,level,5,0.0959,0.0639,0.147,0.0044,374,yes
CAGR%,level,5,-0.0581,0.2623,0.1291,0.0125,374,yes
AvgDailyRet%,delta,5,0.0954,0.0658,0.1164,0.0245,373,yes
CAGR%,delta,5,0.0598,0.2495,0.1125,0.0299,373,yes
Sharpe,delta,5,0.0513,0.3257,0.1112,0.0327,369,yes
Sortino,delta,5,0.0602,0.2463,0.1068,0.0393,373,yes
Sharpe,level,5,0.1005,0.0534,0.1049,0.0437,370,yes
Calmar,delta,5,0.0611,0.2564,0.0934,0.0824,347,
Sortino,level,5,-0.0671,0.1955,0.0718,0.1658,374,
Calmar,level,5,-0.0728,0.1752,0.0693,0.197,348,
