date,col_name,n_deployed,n_eligible,n_dropped,deployed,eligible,dropped,drop_reasons
2025-11-07,Bt_20251107_060000,8,7,1,BLESS|BOB|DUSK|FIL|METIS|TA|XVG|ZEC,BLESS|DUSK|FIL|METIS|TA|XVG|ZEC,BOB,too_young_-14d
2025-11-08,Bt_20251108_060000,9,9,0,DOT|FLUX|G|ICP|KSM|LINEA|MMT|ORDI|STABLE,DOT|FLUX|G|ICP|KSM|LINEA|MMT|ORDI|STABLE,,
2025-11-09,Bt_20251109_060000,5,5,0,AIA|G|KAVA|RESOLV|XMR,AIA|G|KAVA|RESOLV|XMR,,
2025-11-10,Bt_20251110_060000,5,5,0,KAVA|RESOLV|RVV|STRK|WLFI,KAVA|RESOLV|RVV|STRK|WLFI,,
2025-11-11,Bt_20251111_060000,8,8,0,AERO|AIA|ARK|ERA|LSK|MET|OG|PIPPIN,AERO|AIA|ARK|ERA|LSK|MET|OG|PIPPIN,,
2025-11-12,Bt_20251112_060000,6,6,0,JCT|LSK|POWR|PTB|SPELL|TAKE,JCT|LSK|POWR|PTB|SPELL|TAKE,,
2025-11-13,Bt_20251113_060000,7,7,0,EDU|ESPORTS|MANTA|PUFFER|SANTOS|TOSHI|ZORA,EDU|ESPORTS|MANTA|PUFFER|SANTOS|TOSHI|ZORA,,
2025-11-14,Bt_20251114_060000,5,5,0,BDXN|LSK|MTL|SKYAI|TAC,BDXN|LSK|MTL|SKYAI|TAC,,
2025-11-15,Bt_20251115_060000,8,8,0,CROSS|LA|MYX|SCRT|SKYAI|UAI|XVG|ZEN,CROSS|LA|MYX|SCRT|SKYAI|UAI|XVG|ZEN,,
2025-11-16,Bt_20251116_060000,7,7,0,HIPPO|LA|OGN|RESOLV|SQD|WCT|ZORA,HIPPO|LA|OGN|RESOLV|SQD|WCT|ZORA,,
2025-11-17,Bt_20251117_060000,8,8,0,ERA|FLUID|LISTA|MUBARAK|PROMPT|Q|THE|WCT,ERA|FLUID|LISTA|MUBARAK|PROMPT|Q|THE|WCT,,
2025-11-18,Bt_20251118_060000,6,6,0,BRETT|DUSK|FLM|MET|MOVE|RESOLV,BRETT|DUSK|FLM|MET|MOVE|RESOLV,,
2025-11-19,Bt_20251119_060000,4,4,0,APR|GLM|RESOLV|ZK,APR|GLM|RESOLV|ZK,,
2025-11-20,Bt_20251120_060000,8,8,0,CYBER|DOGS|FARTCOIN|GRASS|HFT|MANTA|VFY|ZORA,CYBER|DOGS|FARTCOIN|GRASS|HFT|MANTA|VFY|ZORA,,
2025-11-21,Bt_20251121_060000,10,10,0,ALT|CUDIS|ERA|GPS|HFT|LA|NMR|PIXEL|SENT|TURTLE,ALT|CUDIS|ERA|GPS|HFT|LA|NMR|PIXEL|SENT|TURTLE,,
2025-11-22,Bt_20251122_060000,5,5,0,FLOCK|FLUID|HOLO|LAYER|RECALL,FLOCK|FLUID|HOLO|LAYER|RECALL,,
2025-11-23,Bt_20251123_060000,7,7,0,DMC|GRIFFAIN|INCH|MON|PIPPIN|TOSHI|ZEC,DMC|GRIFFAIN|INCH|MON|PIPPIN|TOSHI|ZEC,,
2025-11-24,Bt_20251124_060000,4,4,0,HIPPO|PARTI|PIPPIN|TRADOOR,HIPPO|PARTI|PIPPIN|TRADOOR,,
2025-11-25,Bt_20251125_060000,5,5,0,ARC|HEMI|MON|PUFFER|YALA,ARC|HEMI|MON|PUFFER|YALA,,
2025-11-26,Bt_20251126_060000,7,7,0,CROSS|HANA|LAYER|MIRA|NAORIS|PLUME|TRADOOR,CROSS|HANA|LAYER|MIRA|NAORIS|PLUME|TRADOOR,,
2025-11-27,Bt_20251127_060000,7,7,0,ARIA|BTR|ESPORTS|ORCA|SQD|SUPER|YALA,ARIA|BTR|ESPORTS|ORCA|SQD|SUPER|YALA,,
2025-11-28,Bt_20251128_060000,3,3,0,PIPPIN|SAFE|SQD,PIPPIN|SAFE|SQD,,
2025-11-29,Bt_20251129_060000,7,7,0,ARK|FUN|IN|IOST|LSK|PIPPIN|SQD,ARK|FUN|IN|IOST|LSK|PIPPIN|SQD,,
2025-11-30,Bt_20251130_060000,11,11,0,AVAAI|AWE|DEEP|GLM|JCT|LQTY|LSK|MTL|PHA|PORTAL|QNT,AVAAI|AWE|DEEP|GLM|JCT|LQTY|LSK|MTL|PHA|PORTAL|QNT,,
2025-12-01,Bt_20251201_060000,2,2,0,TST|VFY,TST|VFY,,
2025-12-02,Bt_20251202_060000,2,2,0,BOB|TRUST,BOB|TRUST,,
2025-12-03,Bt_20251203_060000,7,7,0,ACT|B2|BOB|COTI|ORDER|SUI|TRADOOR,ACT|B2|BOB|COTI|ORDER|SUI|TRADOOR,,
2025-12-04,Bt_20251204_060000,7,7,0,FARTCOIN|IRYS|RECALL|RED|SXP|XPL|ZEC,FARTCOIN|IRYS|RECALL|RED|SXP|XPL|ZEC,,
2025-12-05,Bt_20251205_060000,12,12,0,BAT|EGLD|KAITO|LUNA2|LUNC|PUMPBTC|RIVER|SAPIEN|USTC|XNY|XVG|ZEC,BAT|EGLD|KAITO|LUNA2|LUNC|PUMPBTC|RIVER|SAPIEN|USTC|XNY|XVG|ZEC,,
2025-12-06,Bt_20251206_060000,9,9,0,ACE|GRIFFAIN|LUNA2|LUNC|OL|PIPPIN|PUFFER|THE|USTC,ACE|GRIFFAIN|LUNA2|LUNC|OL|PIPPIN|PUFFER|THE|USTC,,
2025-12-07,Bt_20251207_060000,9,9,0,BEAT|CHILLGUY|DOGS|DOOD|FHE|HEMI|MOODENG|NOT|RED,BEAT|CHILLGUY|DOGS|DOOD|FHE|HEMI|MOODENG|NOT|RED,,
2025-12-08,Bt_20251208_060000,6,6,0,FHE|FIS|LAB|REI|STABLE|SUPER,FHE|FIS|LAB|REI|STABLE|SUPER,,
2025-12-09,Bt_20251209_060000,6,6,0,BLUAI|CHZ|ENJ|FHE|FLUX|RDNT,BLUAI|CHZ|ENJ|FHE|FLUX|RDNT,,
2025-12-10,Bt_20251210_060000,6,6,0,AIOT|CROSS|FIS|G|PIPPIN|RIVER,AIOT|CROSS|FIS|G|PIPPIN|RIVER,,
2025-12-11,Bt_20251211_060000,1,1,0,YALA,YALA,,
2025-12-12,Bt_20251212_060000,6,6,0,BEAT|GUN|ICNT|JELLYJELLY|NIGHT|WET,BEAT|GUN|ICNT|JELLYJELLY|NIGHT|WET,,
2025-12-13,Bt_20251213_060000,6,6,0,AERGO|BEAT|LUNA2|ORDI|PIEVERSE|QTUM,AERGO|BEAT|LUNA2|ORDI|PIEVERSE|QTUM,,
2025-12-14,Bt_20251214_060000,5,5,0,AIN|AXL|PIPPIN|RONIN|SOMI,AIN|AXL|PIPPIN|RONIN|SOMI,,
2025-12-17,Bt_20251217_060000,3,3,0,BTR|EPIC|LIGHT,BTR|EPIC|LIGHT,,
2025-12-18,Bt_20251218_060000,7,7,0,AERGO|AIN|C|CARV|CYS|H|HMSTR,AERGO|AIN|C|CARV|CYS|H|HMSTR,,
2025-12-19,Bt_20251219_060000,8,8,0,CARV|CHZ|DEXE|ETHW|F|HOLO|OL|RESOLV,CARV|CHZ|DEXE|ETHW|F|HOLO|OL|RESOLV,,
2025-12-20,Bt_20251220_060000,9,9,0,ANIME|CHZ|LIGHT|NOM|PIPPIN|RLS|SOPH|TST|WET,ANIME|CHZ|LIGHT|NOM|PIPPIN|RLS|SOPH|TST|WET,,
2025-12-21,Bt_20251221_060000,6,6,0,CC|F|FOLKS|LAB|MIRA|VTHO,CC|F|FOLKS|LAB|MIRA|VTHO,,
2025-12-22,Bt_20251222_060000,7,7,0,ALPINE|BEAT|IOST|POLYX|RIVER|US|XPIN,ALPINE|BEAT|IOST|POLYX|RIVER|US|XPIN,,
2025-12-23,Bt_20251223_060000,6,6,0,COW|F|FXS|LUMIA|LYN|RAVE,COW|F|FXS|LUMIA|LYN|RAVE,,
2025-12-24,Bt_20251224_060000,10,10,0,AVNT|FLOCK|KERNEL|LAB|MOVE|NAORIS|PIPPIN|RARE|ZBT|ZKC,AVNT|FLOCK|KERNEL|LAB|MOVE|NAORIS|PIPPIN|RARE|ZBT|ZKC,,
2025-12-25,Bt_20251225_060000,8,8,0,AT|CLO|HIPPO|IR|LAYER|NOM|TRUTH|ZBT,AT|CLO|HIPPO|IR|LAYER|NOM|TRUTH|ZBT,,
2025-12-26,Bt_20251226_060000,9,9,0,AIXBT|BEAT|BIO|F|FXS|NOM|PLUME|YB|ZKP,AIXBT|BEAT|BIO|F|FXS|NOM|PLUME|YB|ZKP,,
2025-12-27,Bt_20251227_060000,7,7,0,AIOT|AXL|KAITO|LPT|POWER|RAVE|ZEC,AIOT|AXL|KAITO|LPT|POWER|RAVE|ZEC,,
2025-12-28,Bt_20251228_060000,5,5,0,GAS|HIVE|RVV|STEEM|T,GAS|HIVE|RVV|STEEM|T,,
2025-12-29,Bt_20251229_060000,4,4,0,AGT|ARIA|BEL|RAVE,AGT|ARIA|BEL|RAVE,,
2025-12-30,Bt_20251230_060000,7,7,0,ARIA|BEL|G|IRYS|POLYX|POWR|ZRX,ARIA|BEL|G|IRYS|POLYX|POWR|ZRX,,
2025-12-31,Bt_20251231_060000,5,5,0,AIXBT|CLO|IOST|POLYX|TST,AIXBT|CLO|IOST|POLYX|TST,,
2026-01-01,Bt_20260101_060000,7,7,0,AERGO|BAS|CLO|F|HOME|LIGHT|TLM,AERGO|BAS|CLO|F|HOME|LIGHT|TLM,,
2026-01-02,Bt_20260102_060000,8,8,0,CHILLGUY|COS|HOLO|IP|MOG|PEPE|PNUT|POPCAT,CHILLGUY|COS|HOLO|IP|MOG|PEPE|PNUT|POPCAT,,
2026-01-03,Bt_20260103_060000,6,6,0,B|KAITO|MOG|STX|USELESS|VIRTUAL,B|KAITO|MOG|STX|USELESS|VIRTUAL,,
2026-01-04,Bt_20260104_060000,7,7,0,BOME|BONK|COLLECT|DOGS|PROMPT|ROSE|SOPH,BOME|BONK|COLLECT|DOGS|PROMPT|ROSE|SOPH,,
2026-01-05,Bt_20260105_060000,11,11,0,AIXBT|BSV|COLLECT|COOKIE|FET|GRASS|MAVIA|ORCA|PIEVERSE|XEC|YALA,AIXBT|BSV|COLLECT|COOKIE|FET|GRASS|MAVIA|ORCA|PIEVERSE|XEC|YALA,,
2026-01-06,Bt_20260106_060000,9,9,0,BREV|CETUS|CLANKER|CLO|DUSK|PTB|QTUM|RENDER|WOO,BREV|CETUS|CLANKER|CLO|DUSK|PTB|QTUM|RENDER|WOO,,
2026-01-07,Bt_20260107_060000,6,6,0,ANIME|ARIA|AUCTION|BREV|FHE|RECALL,ANIME|ARIA|AUCTION|BREV|FHE|RECALL,,
2026-01-08,Bt_20260108_060000,7,7,0,COLLECT|CVC|G|IR|MAGMA|RAVE|SONIC,COLLECT|CVC|G|IR|MAGMA|RAVE|SONIC,,
2026-01-09,Bt_20260109_060000,6,6,0,DEEP|FORM|GMT|HAEDAL|MAGMA|TAIKO,DEEP|FORM|GMT|HAEDAL|MAGMA|TAIKO,,
2026-01-10,Bt_20260110_060000,10,10,0,AEVO|AVNT|COLLECT|CTK|GMT|POL|POLYX|T|US|ZAMA,AEVO|AVNT|COLLECT|CTK|GMT|POL|POLYX|T|US|ZAMA,,
2026-01-11,Bt_20260111_060000,7,7,0,AIO|AKT|CLO|HYPER|KAVA|NOM|SAHARA,AIO|AKT|CLO|HYPER|KAVA|NOM|SAHARA,,
2026-01-12,Bt_20260112_060000,4,4,0,AERO|IP|ZEC|ZIL,AERO|IP|ZEC|ZIL,,
2026-01-13,Bt_20260113_060000,8,8,0,CLO|DASH|DUSK|GLM|MELANIA|MTL|ROSE|VFY,CLO|DASH|DUSK|GLM|MELANIA|MTL|ROSE|VFY,,
2026-01-14,Bt_20260114_060000,6,6,0,AXS|BERA|BLUR|DRIFT|GUN|RONIN,AXS|BERA|BLUR|DRIFT|GUN|RONIN,,
2026-01-15,Bt_20260115_060000,8,8,0,ASR|DOLO|FHE|MOCA|MOVE|SAFE|YALA|ZEN,ASR|DOLO|FHE|MOCA|MOVE|SAFE|YALA|ZEN,,
2026-01-16,Bt_20260116_060000,10,10,0,BDXN|BLUAI|BTR|CLANKER|DASH|JCT|RIVER|XAI|XVG|ZEN,BDXN|BLUAI|BTR|CLANKER|DASH|JCT|RIVER|XAI|XVG|ZEN,,
2026-01-17,Bt_20260117_060000,0,0,0,,,,
2026-01-18,Bt_20260118_060000,6,6,0,AXS|BERA|HFT|IP|LAB|SAFE,AXS|BERA|HFT|IP|LAB|SAFE,,
2026-01-19,Bt_20260119_060000,5,5,0,BAN|RESOLV|ROSE|SCRT|XVG,BAN|RESOLV|ROSE|SCRT|XVG,,
2026-01-20,Bt_20260120_060000,5,5,0,AXS|COLLECT|MEME|RIVER|XNY,AXS|COLLECT|MEME|RIVER|XNY,,
2026-01-21,Bt_20260121_060000,6,6,0,AERGO|AVAAI|HANA|NAORIS|SXT|ZAMA,AERGO|AVAAI|HANA|NAORIS|SXT|ZAMA,,
2026-01-22,Bt_20260122_060000,6,6,0,IP|MANA|SAND|SENT|SLP|XNY,IP|MANA|SAND|SENT|SLP|XNY,,
2026-01-23,Bt_20260123_060000,8,8,0,ACU|AIA|ENSO|ESPORTS|F|IN|KAIA|SCRT,ACU|AIA|ENSO|ESPORTS|F|IN|KAIA|SCRT,,
2026-01-24,Bt_20260124_060000,8,8,0,ENSO|G|IP|KAIA|KERNEL|LPT|SOMI|TRUST,ENSO|G|IP|KAIA|KERNEL|LPT|SOMI|TRUST,,
2026-01-25,Bt_20260125_060000,11,11,0,ARPA|ENSO|ERA|FLUID|G|NOM|PLUME|ROSE|SUPER|WCT|ZKC,ARPA|ENSO|ERA|FLUID|G|NOM|PLUME|ROSE|SUPER|WCT|ZKC,,
2026-01-26,Bt_20260126_060000,6,6,0,BTR|LINEA|RESOLV|ROSE|SQD|ZETA,BTR|LINEA|RESOLV|ROSE|SQD|ZETA,,
2026-01-27,Bt_20260127_060000,8,8,0,AXL|BR|CLANKER|FIGHT|GAS|ONG|ONT|PROMPT,AXL|BR|CLANKER|FIGHT|GAS|ONG|ONT|PROMPT,,
2026-01-28,Bt_20260128_060000,6,6,0,FOGO|HYPE|PHA|PIPPIN|STG|ZRO,FOGO|HYPE|PHA|PIPPIN|STG|ZRO,,
2026-01-29,Bt_20260129_060000,4,4,0,BULLA|HOLO|STABLE|SYN,BULLA|HOLO|STABLE|SYN,,
2026-01-30,Bt_20260130_060000,7,7,0,BERA|BLUAI|CLANKER|G|IN|ROSE|RVV,BERA|BLUAI|CLANKER|G|IN|ROSE|RVV,,
2026-01-31,Bt_20260131_060000,5,5,0,AWE|CLANKER|INIT|MANTA|SYN,AWE|CLANKER|INIT|MANTA|SYN,,
2026-02-01,Bt_20260201_060000,11,11,0,BREV|BULLA|F|IN|SOPH|TREE|WET|ZBT|ZK|ZKP|ZORA,BREV|BULLA|F|IN|SOPH|TREE|WET|ZBT|ZK|ZKP|ZORA,,
2026-02-02,Bt_20260202_060000,2,2,0,F|MYX,F|MYX,,
2026-02-03,Bt_20260203_060000,7,7,0,AXL|CHESS|CYBER|CYS|DUSK|HYPE|ZIL,AXL|CHESS|CYBER|CYS|DUSK|HYPE|ZIL,,
2026-02-04,Bt_20260204_060000,6,6,0,ARC|COAI|G|GWEI|MEGA|SYN,ARC|COAI|G|GWEI|MEGA|SYN,,
2026-02-05,Bt_20260205_060000,4,4,0,AWE|FIGHT|ORDER|SSV,AWE|FIGHT|ORDER|SSV,,
2026-02-06,Bt_20260206_060000,3,3,0,BLUAI|MYX|SKR,BLUAI|MYX|SKR,,
2026-02-07,Bt_20260207_060000,8,8,0,FLOCK|IN|KERNEL|LA|NAORIS|NOM|TREE|YALA,FLOCK|IN|KERNEL|LA|NAORIS|NOM|TREE|YALA,,
2026-02-08,Bt_20260208_060000,9,9,0,ARK|CLANKER|CVC|DUSK|F|LSK|PTB|RESOLV|YALA,ARK|CLANKER|CVC|DUSK|F|LSK|PTB|RESOLV|YALA,,
2026-02-09,Bt_20260209_060000,6,6,0,AGT|AXS|FOLKS|ICNT|ICX|YALA,AGT|AXS|FOLKS|ICNT|ICX|YALA,,
2026-02-10,Bt_20260210_060000,7,7,0,FIGHT|KERNEL|OG|POWER|RIVER|SONIC|STG,FIGHT|KERNEL|OG|POWER|RIVER|SONIC|STG,,
2026-02-11,Bt_20260211_060000,7,7,0,KERNEL|MAGMA|MANTA|RIVER|SONIC|STG|ZRO,KERNEL|MAGMA|MANTA|RIVER|SONIC|STG|ZRO,,
2026-02-12,Bt_20260212_060000,12,12,0,CLO|G|GRASS|JCT|LINEA|ME|RIVER|SKR|SPACE|STBL|TAKE|TNSR,CLO|G|GRASS|JCT|LINEA|ME|RIVER|SKR|SPACE|STBL|TAKE|TNSR,,
2026-02-13,Bt_20260213_060000,6,6,0,AZTEC|DEEP|NAORIS|RLS|SAPIEN|ZKC,AZTEC|DEEP|NAORIS|RLS|SAPIEN|ZKC,,
2026-02-14,Bt_20260214_060000,5,5,0,COAI|NAORIS|S|SKL|SPACE,COAI|NAORIS|S|SKL|SPACE,,
2026-02-15,Bt_20260215_060000,5,5,0,COMP|FIGHT|SPACE|SPORTFUN|USELESS,COMP|FIGHT|SPACE|SPORTFUN|USELESS,,
2026-02-16,Bt_20260216_060000,0,0,0,,,,
2026-02-17,Bt_20260217_060000,5,5,0,NAORIS|ORCA|PROM|RAYSOL|STABLE,NAORIS|ORCA|PROM|RAYSOL|STABLE,,
2026-02-18,Bt_20260218_060000,8,8,0,AWE|CYBER|NAORIS|ONT|SONIC|STEEM|TAIKO|WLFI,AWE|CYBER|NAORIS|ONT|SONIC|STEEM|TAIKO|WLFI,,
2026-02-19,Bt_20260219_060000,2,2,0,INJ|PROM,INJ|PROM,,
2026-02-20,Bt_20260220_060000,4,4,0,AZTEC|ENSO|G|TLM,AZTEC|ENSO|G|TLM,,
2026-02-21,Bt_20260221_060000,9,9,0,ACU|AZTEC|CARV|ESP|G|GRT|IO|WOO|YGG,ACU|AZTEC|CARV|ESP|G|GRT|IO|WOO|YGG,,
2026-02-22,Bt_20260222_060000,7,7,0,AGT|ENSO|OL|OM|PLAY|SAPIEN|SIREN,AGT|ENSO|OL|OM|PLAY|SAPIEN|SIREN,,
2026-02-23,Bt_20260223_060000,7,7,0,BULLA|FLOCK|KOMA|LA|PROMPT|SPORTFUN|YGG,BULLA|FLOCK|KOMA|LA|PROMPT|SPORTFUN|YGG,,
2026-02-24,Bt_20260224_060000,7,7,0,DODOX|PUNDIX|SKR|SONIC|STEEM|SXT|ZAMA,DODOX|PUNDIX|SKR|SONIC|STEEM|SXT|ZAMA,,
2026-02-25,Bt_20260225_060000,8,8,0,DENT|HOLO|KSM|MIRA|PIEVERSE|RIVER|SIREN|VIRTUAL,DENT|HOLO|KSM|MIRA|PIEVERSE|RIVER|SIREN|VIRTUAL,,
2026-02-26,Bt_20260226_060000,8,8,0,DENT|GRIFFAIN|GWEI|KERNEL|SIREN|STBL|STEEM|WET,DENT|GRIFFAIN|GWEI|KERNEL|SIREN|STBL|STEEM|WET,,
2026-02-27,Bt_20260227_060000,8,8,0,FLOW|FOLKS|LUNA2|LUNC|OL|PHA|SPORTFUN|VVV,FLOW|FOLKS|LUNA2|LUNC|OL|PHA|SPORTFUN|VVV,,
2026-02-28,Bt_20260228_060000,9,9,0,ATH|BARD|HOLO|IOTX|RIVER|ROBO|SIGN|SOPH|WCT,ATH|BARD|HOLO|IOTX|RIVER|ROBO|SIGN|SOPH|WCT,,
2026-03-01,Bt_20260301_060000,6,6,0,CELO|DENT|JOE|MAGMA|STEEM|TAKE,CELO|DENT|JOE|MAGMA|STEEM|TAKE,,
2026-03-02,Bt_20260302_060000,7,7,0,AIXBT|BREV|KNC|MIRA|SANTOS|SIREN|WOO,AIXBT|BREV|KNC|MIRA|SANTOS|SIREN|WOO,,
2026-03-03,Bt_20260303_060000,5,5,0,AIXBT|ETHW|PHA|SAHARA|VIC,AIXBT|ETHW|PHA|SAHARA|VIC,,
2026-03-04,Bt_20260304_060000,7,7,0,COOKIE|FORM|KAVA|MAGMA|RATS|ROBO|TAG,COOKIE|FORM|KAVA|MAGMA|RATS|ROBO|TAG,,
2026-03-05,Bt_20260305_060000,7,7,0,AIOT|BREV|HUMA|IOTX|ONE|ROBO|SIGN,AIOT|BREV|HUMA|IOTX|ONE|ROBO|SIGN,,
2026-03-06,Bt_20260306_060000,12,12,0,ANKR|BICO|FHE|HUMA|INIT|JCT|JELLYJELLY|PLUME|SIGN|TRIA|UAI|ZORA,ANKR|BICO|FHE|HUMA|INIT|JCT|JELLYJELLY|PLUME|SIGN|TRIA|UAI|ZORA,,
2026-03-07,Bt_20260307_060000,7,7,0,AZTEC|BANANAS31|BROCCOLI714|HANA|KAVA|PTB|RESOLV,AZTEC|BANANAS31|BROCCOLI714|HANA|KAVA|PTB|RESOLV,,
