aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.42207,0.84415,2.7245,-0.8338,718.6,-28.75,24.99,Excellent
143844,0.50621,1.01243,2.5523,-1.006,594.84,-29.28,20.32,Excellent
206913,0.60713,1.21426,2.3435,-1.2148,470.62,-29.9,15.74,Institutional
297635,0.72817,1.45633,2.0899,-1.4684,350.33,-30.64,11.43,Institutional
428133,0.87333,1.74666,1.7816,-1.7767,238.76,-31.52,7.58,Survival
615848,1.04743,2.09486,1.4069,-2.1514,140.51,-33.42,4.2,Marginal
885866,1.25624,2.51248,0.9516,-2.6067,59.23,-36.27,1.63,Unusable
1274274,1.50668,3.01335,0.3999,-3.1584,-3.12,-50.2,-0.06,Unusable
1832980,1.80704,3.61408,-0.265,-3.8233,-46.8,-70.07,-0.67,Unusable
2636650,2.16728,4.33456,-1.0585,-4.6168,-74.2,-84.5,-0.88,Unusable
3792690,2.59933,5.19867,-1.9901,-5.5484,-89.24,-93.22,-0.96,Unusable
5455594,3.11752,6.23504,-3.0564,-6.6147,-96.27,-97.53,-0.99,Unusable
7847599,3.73901,7.47802,-4.2331,-7.7914,-98.97,-99.39,-1.0,Unusable
11288378,4.4844,8.9688,-5.469,-9.0273,-99.78,-99.89,-1.0,Unusable
16237767,5.37838,10.75676,-6.6906,-10.2489,-99.97,-99.99,-1.0,Unusable
23357214,6.45058,12.90116,-7.8181,-11.3764,-100.0,-100.0,-1.0,Unusable
33598182,7.73653,15.47306,-8.7887,-12.347,-100.0,-100.0,-1.0,Unusable
48329302,9.27884,18.55768,-9.5727,-13.131,-100.0,-100.0,-1.0,Unusable
69519279,11.12861,22.25722,-10.1732,-13.7316,-100.0,-100.0,-1.0,Unusable
100000000,13.34714,26.69429,-10.615,-14.1733,-100.0,-100.0,-1.0,Unusable
