Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.2542,4.4,20.0,✓
5,5,1.1457,19.6,45.0,✓
10,10,2.0466,35.0,65.0,✓
20,21,3.5559,60.9,,
25,27,4.2761,73.2,,
