slippage_one_way_pct,round_trip_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
0.05,0.1,3.4623,-0.096,1584.42,-26.42,59.98,Excellent
0.1,0.2,3.3655,-0.1928,1429.23,-26.73,53.46,Excellent
0.25,0.5,3.0707,-0.4876,1043.63,-27.68,37.7,Excellent
0.5,1.0,2.5651,-0.9932,603.31,-29.24,20.63,Excellent
1.0,2.0,1.5095,-2.0488,164.06,-32.76,5.01,Marginal
