blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.5583,1755.19,-26.096,0.0,0.0
1,+128.1%,2.9418,770.94,-29.025,-0.6165,-984.26
2,"+128.1%, +59.2%",2.5269,468.5,-29.025,-1.0314,-1286.69
3,"+128.1%, +59.2%, +51.5%",2.1469,288.33,-29.025,-1.4114,-1466.86
