window_days,min_cum_ret,start_idx,end_idx
1,-0.152261,200,200
3,-0.184436,198,200
7,-0.193688,228,234
14,-0.241414,34,47
21,-0.230561,180,200
30,-0.286249,173,202
40,-0.143336,161,200
50,-0.165874,158,207
60,0.024851,145,204
70,0.217226,173,242
80,0.324439,177,256
90,0.378851,145,234
100,0.458141,104,203
