PORT_SL,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.8,2.8949,314.5,-22.969,-6.996,13.692,0.7632,False
-0.04,1.0,2.8949,466.94,-28.201,-8.745,16.557,0.7632,False
-0.04,1.2,2.8949,663.18,-33.218,-10.494,19.965,0.7632,False
-0.04,1.4,2.8949,911.49,-38.014,-12.243,23.978,0.7632,False
-0.04,1.5,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
-0.04,1.6,2.8949,1220.38,-42.589,-13.992,28.655,0.7632,False
-0.04,1.8,2.8949,1598.15,-46.942,-15.741,34.046,0.7632,False
-0.04,2.0,2.8949,2052.41,-51.072,-17.489,40.186,0.7632,False
-0.05,0.8,3.696,395.29,-12.713,-8.018,31.093,0.5104,False
-0.05,1.0,3.721,624.5,-15.74,-10.022,39.675,0.5098,False
-0.05,1.2,3.721,937.36,-18.708,-12.027,50.105,0.5098,False
-0.05,1.4,3.721,1368.14,-21.617,-14.031,63.29,0.5098,False
-0.05,1.5,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
-0.05,1.6,3.721,1954.35,-24.468,-16.036,79.874,0.5098,False
-0.05,1.8,3.721,2742.86,-27.262,-18.04,100.612,0.5098,False
-0.05,2.0,3.721,3791.47,-29.999,-20.045,126.386,0.5098,False
-0.055,0.8,3.6305,389.32,-12.147,-7.325,32.051,0.5492,False
-0.055,1.0,3.6471,610.51,-15.012,-9.156,40.669,0.5479,False
-0.055,1.2,3.6471,912.36,-17.809,-10.987,51.229,0.5479,False
-0.055,1.4,3.6471,1325.31,-20.541,-12.818,64.519,0.5479,False
-0.055,1.5,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
-0.055,1.6,3.6471,1883.4,-23.208,-14.65,81.152,0.5479,False
-0.055,1.8,3.6471,2628.64,-25.811,-16.481,101.841,0.5479,False
-0.055,2.0,3.6471,3612.1,-28.351,-18.312,127.407,0.5479,False
-0.06,0.8,3.8268,411.12,-12.363,-5.312,33.255,0.5657,False
-0.06,1.0,3.8442,651.8,-15.276,-6.64,42.668,0.5652,False
-0.06,1.2,3.8442,985.96,-18.12,-7.968,54.412,0.5652,False
-0.06,1.4,3.8442,1451.25,-20.896,-9.296,69.45,0.5652,False
-0.06,1.5,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,True
-0.06,1.6,3.8442,2091.95,-23.605,-10.624,88.621,0.5652,False
-0.06,1.8,3.8442,2964.56,-26.249,-11.952,112.942,0.5652,False
-0.06,2.0,3.8442,4140.33,-28.827,-13.28,143.628,0.5652,False
-0.065,0.8,3.8098,408.34,-12.342,-5.61,33.084,0.5767,False
-0.065,1.0,3.8271,646.61,-15.251,-7.012,42.398,0.5761,False
-0.065,1.2,3.8271,976.84,-18.091,-8.415,53.996,0.5761,False
-0.065,1.4,3.8271,1435.84,-20.863,-9.817,68.823,0.5761,False
-0.065,1.5,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
-0.065,1.6,3.8271,2066.72,-23.568,-11.22,87.691,0.5761,False
-0.065,1.8,3.8271,2924.3,-26.207,-12.623,111.583,0.5761,False
-0.065,2.0,3.8271,4077.54,-28.782,-14.025,141.67,0.5761,False
-0.07,0.8,3.82,413.72,-12.342,-5.61,33.52,0.5483,False
-0.07,1.0,3.8373,656.31,-15.251,-7.012,43.034,0.5479,False
-0.07,1.2,3.8373,993.34,-18.091,-8.415,54.908,0.5479,False
-0.07,1.4,3.8373,1462.82,-20.863,-9.817,70.116,0.5479,False
-0.07,1.5,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
-0.07,1.6,3.8373,2109.44,-23.568,-11.22,89.504,0.5479,False
-0.07,1.8,3.8373,2990.2,-26.207,-12.623,114.097,0.5479,False
-0.07,2.0,3.8373,4176.86,-28.782,-14.025,145.121,0.5479,False
-0.075,0.8,3.82,413.72,-12.342,-5.61,33.52,0.5483,False
-0.075,1.0,3.8373,656.31,-15.251,-7.012,43.034,0.5479,False
-0.075,1.2,3.8373,993.34,-18.091,-8.415,54.908,0.5479,False
-0.075,1.4,3.8373,1462.82,-20.863,-9.817,70.116,0.5479,False
-0.075,1.5,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
-0.075,1.6,3.8373,2109.44,-23.568,-11.22,89.504,0.5479,False
-0.075,1.8,3.8373,2990.2,-26.207,-12.623,114.097,0.5479,False
-0.075,2.0,3.8373,4176.86,-28.782,-14.025,145.121,0.5479,False
-0.08,0.8,3.82,413.72,-12.342,-5.61,33.52,0.5483,False
-0.08,1.0,3.8373,656.31,-15.251,-7.012,43.034,0.5479,False
-0.08,1.2,3.8373,993.34,-18.091,-8.415,54.908,0.5479,False
-0.08,1.4,3.8373,1462.82,-20.863,-9.817,70.116,0.5479,False
-0.08,1.5,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
-0.08,1.6,3.8373,2109.44,-23.568,-11.22,89.504,0.5479,False
-0.08,1.8,3.8373,2990.2,-26.207,-12.623,114.097,0.5479,False
-0.08,2.0,3.8373,4176.86,-28.782,-14.025,145.121,0.5479,False
-0.085,0.8,3.82,413.72,-12.342,-5.61,33.52,0.5483,False
-0.085,1.0,3.8373,656.31,-15.251,-7.012,43.034,0.5479,False
-0.085,1.2,3.8373,993.34,-18.091,-8.415,54.908,0.5479,False
-0.085,1.4,3.8373,1462.82,-20.863,-9.817,70.116,0.5479,False
-0.085,1.5,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
-0.085,1.6,3.8373,2109.44,-23.568,-11.22,89.504,0.5479,False
-0.085,1.8,3.8373,2990.2,-26.207,-12.623,114.097,0.5479,False
