threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.6781,132,66.67,132,True,Robust plateau | baseline inside
0.975,3.7749,132,66.67,132,True,Robust plateau | baseline inside
0.99,3.833,53,26.77,44,False,Robust plateau | baseline outside
