surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.652,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.7481,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.8058,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.7116,95,52.78,84,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.8092,72,40.0,64,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.8678,38,21.11,37,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,3.652,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.975,3.7481,108,100.0,108,True,Robust plateau | baseline inside
lbase_lhigh,L_BASE,L_HIGH,0.99,3.8058,108,100.0,108,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,3.6781,132,66.67,132,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,3.7749,132,66.67,132,True,Robust plateau | baseline inside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,3.833,53,26.77,44,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,3.652,64,80.0,56,True,Robust plateau | baseline inside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.7481,56,70.0,56,True,Robust plateau | baseline inside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.8058,56,70.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.652,64,80.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.7481,56,70.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.8058,56,70.0,56,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.652,16,20.0,16,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.7481,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.8058,8,10.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.652,16,16.67,16,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.7481,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.8058,8,8.33,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,3.679,14,20.0,14,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,3.7758,7,10.0,7,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,3.8339,5,7.14,3,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.6609,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.7573,20,80.0,16,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.8151,13,52.0,9,True,Robust plateau | baseline inside
