shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,3.5583,1755.19,-26.096,0.0,0.0,True
-10.0,1,3.4737,1635.61,-31.275,-0.0846,-5.179,True
-10.0,3,3.2404,1330.62,-44.333,-0.3179,-18.237,True
-10.0,5,3.0134,1079.23,-54.91,-0.5449,-28.814,False
-20.0,1,3.3226,1457.9,-38.912,-0.2357,-12.815,True
-20.0,3,2.8209,934.64,-60.903,-0.7374,-34.807,False
-20.0,5,2.3629,587.13,-74.978,-1.1955,-48.882,False
-30.0,1,3.1468,1278.34,-46.548,-0.4115,-20.451,True
-30.0,3,2.3825,616.54,-73.808,-1.1758,-47.712,False
-30.0,5,1.741,272.5,-87.166,-1.8173,-61.07,False
-40.0,1,2.9548,1096.63,-54.184,-0.6036,-28.087,False
-40.0,3,1.9628,368.87,-83.506,-1.5955,-57.41,False
-40.0,5,1.2004,83.71,-94.062,-2.3579,-67.966,False
