n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,3.5583,1755.19,-26.096,0.0,0.0
1,25.4%,3.4234,1417.54,-26.317,-0.1349,-337.65
3,"25.4%, 24.8%, 23.2%",3.1403,933.79,-26.317,-0.418,-821.4
5,"25.4%, 24.8%, 23.2%, 20.9%, 20.3%",2.8494,639.14,-26.317,-0.709,-1116.05
10,"25.4%, 24.8%, 23.2%, 20.9%, 20.3% … +5 more",2.0708,248.03,-34.584,-1.4876,-1507.17
