TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,35,1.962,-27.89,3.422,3.28,-0.262,296
0.05,35,3.044,-27.02,1.408,5.213,2.259,296
0.06,35,3.292,-22.8,0.771,5.091,3.929,296
0.07,35,3.622,-22.26,0.619,5.277,6.756,296
0.08,35,3.666,-22.39,0.624,5.277,6.756,296
0.09,35,3.641,-23.6,0.63,5.277,6.756,296
0.1,35,3.677,-19.89,0.596,5.277,6.756,296
0.11,35,3.671,-19.89,0.596,5.277,6.756,296
0.12,35,3.665,-19.89,0.596,5.277,6.756,296
0.13,35,3.665,-19.89,0.596,5.277,6.756,296
0.14,35,3.665,-19.89,0.596,5.277,6.756,296
0.15,35,3.665,-19.89,0.596,5.277,6.756,296
0.16,35,3.665,-19.89,0.596,5.277,6.756,296
