mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.6302,0.0,5.6301,3990.55,-5.06,1.4665,1.4664,100
return_noise,0.003,5.6302,0.0001,5.6299,3990.53,-5.06,1.4665,1.4664,100
return_noise,0.005,5.6302,0.0002,5.6298,3990.57,-5.06,1.4665,1.4663,100
return_noise,0.01,5.6302,0.0004,5.6292,3987.82,-5.06,1.4664,1.4662,100
signal_shuffle,0.02,3.7941,0.0991,3.461,1674.69,-22.51,0.9882,0.9015,100
signal_shuffle,0.05,3.7459,0.1283,3.4043,1633.1,-22.62,0.9757,0.8867,100
signal_shuffle,0.1,3.6619,0.2198,3.0835,1561.84,-23.49,0.9538,0.8031,100
signal_shuffle,0.2,3.5264,0.277,2.8067,1474.1,-24.97,0.9185,0.731,100
ranking_noise,0.02,3.7786,0.121,3.3814,1707.66,-23.32,0.9842,0.8807,100
ranking_noise,0.05,3.699,0.2449,2.8904,1672.38,-24.71,0.9634,0.7528,100
ranking_noise,0.1,3.4854,0.2674,2.8778,1497.34,-26.83,0.9078,0.7496,100
