drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,2.837,530.1,-22.26,101,297,0.743,2.914,88.9,1
0.023,1.4,2.877,569.3,-22.26,104,294,0.807,2.971,77.8,2
0.024,1.4,2.877,569.3,-22.26,104,294,0.807,2.971,77.8,2
0.025,1.4,2.846,554.6,-22.26,105,293,0.82,2.925,77.8,2
0.026,1.4,2.846,554.6,-22.26,105,293,0.82,2.925,77.8,2
0.027,1.4,2.842,556.7,-22.26,109,289,0.822,2.905,77.8,2
0.028,1.4,2.842,556.7,-22.26,109,289,0.822,2.905,77.8,2
0.029,1.4,2.934,610.6,-22.26,110,288,0.824,3.042,77.8,2
0.03,1.4,3.054,695.6,-22.26,111,287,0.824,3.042,77.8,2
0.031,1.4,2.986,658.5,-22.26,112,286,0.824,3.042,77.8,2
0.032,1.4,2.986,658.5,-22.26,112,286,0.824,3.042,77.8,2
0.033,1.4,2.981,658.5,-23.97,114,284,0.824,3.042,77.8,2
0.034,1.4,2.981,658.5,-23.97,114,284,0.824,3.042,77.8,2
0.035,1.4,2.981,658.5,-23.97,114,284,0.824,3.042,77.8,2
0.04,1.4,2.956,663.7,-23.97,116,282,0.775,3.021,77.8,2
