L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,3.709,308.3,-12.36,296,3.709,,,0.62,3.8,88.9,1,5.277,6.756
0.9,3.778,427.3,-14.45,296,3.778,,,0.575,3.908,88.9,1,5.408,6.693
1.0,3.813,554.9,-15.28,296,3.813,,,0.576,3.933,88.9,1,5.45,6.647
1.1,3.846,727.8,-16.71,296,3.846,,,0.531,3.998,88.9,1,5.31,6.557
1.2,3.846,915.2,-18.12,296,3.846,,,0.531,3.991,88.9,1,5.31,6.48
1.3,3.846,1109.3,-19.52,296,3.846,,,0.531,3.991,88.9,1,5.31,6.48
1.4,3.844,1438.3,-20.9,296,3.844,,,0.566,3.93,88.9,1,5.256,6.356
1.5,3.844,1746.5,-22.26,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
1.6,3.844,2092.0,-23.61,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
1.7,3.844,2495.2,-24.94,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
1.8,3.844,2964.6,-26.25,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
1.9,3.844,3509.5,-27.55,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.0,3.844,4140.3,-28.83,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.1,3.844,4868.8,-30.09,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.2,3.844,5707.9,-31.34,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.3,3.844,6671.8,-32.57,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.4,3.844,7776.3,-33.79,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.5,3.844,9038.5,-34.99,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.6,3.844,10477.5,-36.18,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.7,3.844,12113.7,-37.35,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.8,3.844,13969.7,-38.51,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
2.9,3.844,16069.5,-39.65,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
3.0,3.844,18439.4,-40.78,296,3.844,,,0.565,3.929,88.9,1,5.256,6.332
