period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.546296,0.009157,0.098997,-0.04482,0.25422,-0.152261,59,49
weekly,56,0.652174,0.065364,0.153375,-0.058805,0.486469,-0.179537,30,16
monthly,13,0.692308,0.315084,0.47699,-0.049206,1.280834,-0.077802,9,4
