threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.6609,25,100.0,25,True,Robust plateau | baseline inside
0.975,3.7573,20,80.0,16,True,Robust plateau | baseline inside
0.99,3.8151,13,52.0,9,True,Robust plateau | baseline inside
