EARLY_KILL_Y,PORT_SL,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.0,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.0,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.0,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.0,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.0,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.0,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0005,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.0005,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.0005,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.0005,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.0005,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.0005,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0005,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0005,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0005,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0005,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0008,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.0008,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.0008,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.0008,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.0008,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.0008,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0008,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0008,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0008,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0008,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.001,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.001,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.001,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.001,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.001,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.001,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.001,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.001,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.001,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.001,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0015,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.0015,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.0015,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.0015,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.0015,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.0015,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0015,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0015,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0015,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0015,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.002,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.002,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.002,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.002,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.002,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.002,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.002,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.002,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.002,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.002,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0025,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.0025,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.0025,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.0025,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,False
0.0025,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.0025,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0025,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0025,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0025,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.0025,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.003,-0.04,2.8949,1057.83,-40.33,-13.117,26.23,0.7632,False
0.003,-0.05,3.721,1639.12,-23.05,-15.034,71.113,0.5098,False
0.003,-0.055,3.6471,1583.78,-21.883,-13.734,72.375,0.5479,False
0.003,-0.06,3.8442,1746.46,-22.259,-9.96,78.46,0.5652,True
0.003,-0.065,3.8271,1726.67,-22.224,-10.519,77.695,0.5761,False
0.003,-0.07,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.003,-0.075,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.003,-0.08,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.003,-0.085,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
0.003,-0.1,3.8373,1760.74,-22.224,-10.519,79.228,0.5479,False
