Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.1228,0.0488,-0.081,0.1949,258,
CAGR%,level,1,-0.076,0.1351,-0.068,0.1811,388,
AvgDailyRet%,level,1,-0.1063,0.0363,-0.063,0.216,388,
Calmar,level,1,-0.0222,0.7604,-0.0553,0.4458,192,
Sortino,level,1,-0.0639,0.209,-0.0405,0.4264,388,
Sortino,delta,1,0.0108,0.8317,-0.0103,0.8395,387,
CAGR%,delta,1,0.0858,0.0921,0.0085,0.868,387,
Calmar,delta,1,-0.0269,0.7122,-0.0039,0.9571,191,
Sharpe,delta,1,-0.002,0.9741,0.0027,0.9652,257,
AvgDailyRet%,delta,1,-0.0104,0.839,0.001,0.9842,387,
Sharpe,level,3,-0.2017,0.0012,-0.1944,0.0018,256,yes
Calmar,delta,3,-0.0545,0.4542,-0.1031,0.1557,191,
Calmar,level,3,-0.0124,0.8649,-0.0967,0.1822,192,
CAGR%,level,3,-0.2196,0.0,-0.0941,0.0647,386,
AvgDailyRet%,level,3,-0.1628,0.0013,-0.082,0.1078,386,
Sharpe,delta,3,-0.0544,0.387,-0.0733,0.2438,255,
AvgDailyRet%,delta,3,-0.0642,0.2087,-0.0539,0.2913,385,
Sortino,level,3,-0.0948,0.0627,-0.0479,0.3479,386,
CAGR%,delta,3,-0.0438,0.3915,-0.0452,0.3761,385,
Sortino,delta,3,-0.0427,0.4029,-0.029,0.571,385,
Sharpe,level,5,-0.2109,0.0007,-0.2282,0.0002,254,yes
Sharpe,delta,5,-0.0665,0.2917,-0.104,0.0988,253,
CAGR%,delta,5,-0.076,0.1379,-0.0803,0.1165,383,
AvgDailyRet%,delta,5,-0.0794,0.1208,-0.0782,0.1264,383,
Sortino,delta,5,-0.0546,0.2861,-0.0725,0.1568,383,
Calmar,level,5,-0.0325,0.6542,-0.072,0.3209,192,
CAGR%,level,5,-0.1551,0.0023,-0.0633,0.2158,384,
AvgDailyRet%,level,5,-0.1528,0.0027,-0.0458,0.3712,384,
Calmar,delta,5,-0.0262,0.7193,-0.0416,0.5673,191,
Sortino,level,5,-0.1045,0.0407,-0.0264,0.6061,384,
