Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
AvgDailyRet%,level,1,-0.036,0.4908,-0.0364,0.4867,368,
AvgDailyRet%,delta,1,0.058,0.268,0.0336,0.5214,367,
Sharpe,delta,1,0.068,0.2198,0.0309,0.5778,327,
Sortino,delta,1,0.0243,0.643,0.0263,0.615,367,
CAGR%,level,1,-0.0766,0.1422,-0.0235,0.6525,368,
Sortino,level,1,-0.0293,0.5757,-0.0145,0.7809,368,
Sharpe,level,1,-0.0324,0.5589,-0.0093,0.8666,328,
Calmar,level,1,-0.0822,0.1454,0.0036,0.9495,315,
CAGR%,delta,1,-0.0815,0.1191,0.0004,0.9938,367,
Calmar,delta,1,-0.0838,0.1382,-0.0002,0.9977,314,
AvgDailyRet%,level,3,-0.0844,0.1069,-0.1384,0.008,366,yes
CAGR%,level,3,-0.0539,0.3037,-0.1373,0.0085,366,yes
Sharpe,level,3,-0.0763,0.1695,-0.1297,0.0191,326,yes
Sortino,level,3,-0.0687,0.19,-0.1126,0.0312,366,yes
Calmar,level,3,-0.0609,0.283,-0.1076,0.0571,313,
Sortino,delta,3,0.0168,0.7488,0.039,0.4573,365,
Calmar,delta,3,-0.0182,0.7494,0.0218,0.7014,312,
CAGR%,delta,3,-0.0168,0.7484,0.021,0.6896,365,
AvgDailyRet%,delta,3,0.0345,0.5109,0.0039,0.9405,365,
Sharpe,delta,3,0.0155,0.7808,-0.0027,0.9608,325,
AvgDailyRet%,level,5,-0.091,0.0831,-0.1262,0.016,364,yes
Sharpe,delta,5,-0.0465,0.4049,-0.1185,0.0332,323,yes
CAGR%,delta,5,-0.0196,0.71,-0.1178,0.0248,363,yes
CAGR%,level,5,-0.0713,0.1749,-0.1147,0.0286,364,yes
AvgDailyRet%,delta,5,-0.0476,0.3658,-0.1114,0.0339,363,yes
Calmar,delta,5,-0.0216,0.7048,-0.1047,0.0656,310,
Sortino,level,5,-0.0755,0.1506,-0.1025,0.0507,364,
Sharpe,level,5,-0.0653,0.2413,-0.0916,0.0999,324,
Calmar,level,5,-0.0786,0.1668,-0.0774,0.1736,311,
Sortino,delta,5,-0.023,0.6629,-0.0692,0.1887,363,
