Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0894,0.0868,-0.119,0.0225,368,yes
CAGR%,level,1,-0.0838,0.1084,-0.1181,0.0235,368,yes
Sharpe,level,1,-0.1404,0.007,-0.1097,0.0354,368,yes
AvgDailyRet%,level,1,-0.1193,0.0221,-0.109,0.0366,368,yes
Sortino,level,1,0.0112,0.8304,-0.0411,0.4323,368,
Calmar,delta,1,-0.0372,0.4769,0.0326,0.5336,367,
Sortino,delta,1,0.0063,0.9036,0.0286,0.5852,367,
Sharpe,delta,1,0.0883,0.0913,0.0185,0.724,367,
AvgDailyRet%,delta,1,0.0554,0.2894,0.0118,0.8225,367,
CAGR%,delta,1,-0.0038,0.9417,0.0076,0.8842,367,
Calmar,level,3,-0.0966,0.065,-0.1655,0.0015,366,yes
CAGR%,level,3,-0.1074,0.0401,-0.1589,0.0023,366,yes
Sharpe,level,3,-0.2843,0.0,-0.15,0.004,366,yes
AvgDailyRet%,level,3,-0.2303,0.0,-0.1463,0.005,366,yes
Sortino,level,3,-0.0227,0.6651,-0.0923,0.0779,366,
Sortino,delta,3,0.0435,0.4078,0.0465,0.3757,365,
CAGR%,delta,3,-0.0403,0.4428,-0.0125,0.812,365,
Sharpe,delta,3,0.0353,0.501,-0.0119,0.8215,365,
Calmar,delta,3,-0.0575,0.2731,0.0051,0.9233,365,
AvgDailyRet%,delta,3,0.0155,0.7674,0.0006,0.9905,365,
Calmar,level,5,-0.0872,0.0967,-0.2325,0.0,364,yes
CAGR%,level,5,-0.1021,0.0515,-0.227,0.0,364,yes
AvgDailyRet%,level,5,-0.2989,0.0,-0.2173,0.0,364,yes
Sharpe,level,5,-0.3697,0.0,-0.2128,0.0,364,yes
Sortino,level,5,-0.0819,0.119,-0.1834,0.0004,364,yes
Sortino,delta,5,0.0794,0.1313,0.0277,0.5987,363,
CAGR%,delta,5,-0.034,0.5185,-0.0199,0.706,363,
Calmar,delta,5,-0.0593,0.2601,-0.0143,0.7862,363,
AvgDailyRet%,delta,5,0.018,0.7323,0.0034,0.9486,363,
Sharpe,delta,5,-0.007,0.8946,-0.0011,0.9833,363,
