rank,daily_return,cum_return,pct_days,cum_pct_gross_pos
1,0.404,0.404,0.29940119760479045,3.939304870067991
2,0.37334999999999996,0.77735,0.5988023952095809,7.5797491107607735
3,0.362475,1.139825,0.8982035928143712,11.114153894864476
4,0.2624,1.402225,1.1976047904191618,13.67275190948289
5,0.25995132272270394,1.662176322722704,1.4970059880239521,16.207473472805077
6,0.22495,1.887126322722704,1.7964071856287425,18.4009057265719
7,0.221525,2.108651322722704,2.095808383233533,20.5609416457348
8,0.20977318716140414,2.3184245098841085,2.3952095808383236,22.60638852146402
9,0.20682499999999998,2.5252495098841083,2.694610778443114,24.623088347582364
10,0.19449999999999998,2.7197495098841085,2.9940119760479043,26.51961012289975
11,0.19295,2.9126995098841086,3.293413173652695,28.401018228542373
12,0.1918,3.104499509884109,3.592814371257485,30.271212966361784
13,0.18935566691352626,3.293855176797635,3.8922155688622757,32.11757361202373
14,0.1783,3.472155176797635,4.191616766467066,33.85613316235324
15,0.17792499999999997,3.650080176797635,4.491017964071856,35.59103617969692
16,0.1751,3.8251801767976352,4.790419161676647,37.29839331521402
17,0.160475,3.985655176797635,5.089820359281437,38.86314566428372
18,0.153225,4.1388801767976355,5.389221556886228,40.35720504229404
19,0.15315,4.292030176797636,5.688622754491018,41.85053311370719
20,0.1495,4.441530176797635,5.9880239520958085,43.30827093072492
21,0.1479,4.589430176797635,6.287425149700598,44.75040754033645
22,0.14629999999999999,4.735730176797635,6.58682634730539,46.176942942541764
23,0.14435,4.880080176797636,6.88622754491018,47.58446437322076
24,0.12735,5.0074301767976355,7.18562874251497,48.82622297520878
25,0.12689999999999999,5.1343301767976355,7.48502994011976,50.0635937376138
26,0.12355,5.257880176797635,7.784431137724551,51.26829947201206
27,0.12027499999999999,5.378155176797636,8.08383233532934,52.44107148500075
28,0.120225,5.498380176797635,8.383233532934131,53.61335596025798
29,0.1202,5.618580176797635,8.682634730538922,54.7853966666495
30,0.117475,5.736055176797635,8.982035928143713,55.93086656667731
31,0.11414609707204114,5.850201273869676,9.281437125748502,57.04387715107123
32,0.111925,5.962126273869676,9.580838323353294,58.13523036290875
33,0.10912499999999999,6.071251273869676,9.880239520958083,59.19928146178541
34,0.10775,6.179001273869676,10.179640718562874,60.24992527304735
35,0.10275,6.281751273869676,10.479041916167663,61.251815311164904
36,0.10275,6.3845012738696765,10.778443113772456,62.25370534928244
