trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
251,1.094469,-1.109659,1.165142,5,-735,0.761724,3,1.947900,551.650000,-72.112000,7.650000,0.950000
252,0.924022,-0.862677,1.135477,5,-705,1.249186,5,1.947900,449.970000,-65.639000,6.855000,0.950000
253,1.054883,-1.028881,1.103506,6,-1017,1.158498,5,1.947900,528.830000,-70.717000,7.478000,0.950000
254,0.969213,-0.980393,1.029412,8,-808,0.715597,4,1.947900,477.640000,-67.477000,7.079000,0.950000
255,1.068414,-0.939570,1.045257,9,-662,1.199899,4,1.947900,536.700000,-71.201000,7.538000,0.950000
256,0.943324,-1.046104,1.111710,5,-1054,0.823549,5,1.947900,461.830000,-66.436000,6.952000,0.950000
257,1.024372,-1.022770,1.073908,5,-1154,1.128402,6,1.947900,510.840000,-69.599000,7.340000,0.950000
258,0.914814,-0.974211,1.022922,5,-777,0.943242,6,1.947900,444.290000,-65.254000,6.809000,0.950000
259,0.947412,-1.087936,1.142333,8,-977,0.989362,5,1.947900,464.330000,-66.602000,6.972000,0.950000
260,1.085594,-0.987568,1.036947,6,-1189,0.650905,5,1.947900,546.590000,-71.805000,7.612000,0.950000
261,0.996318,-1.115240,1.171002,5,-1368,0.950857,4,1.947900,494.050000,-68.536000,7.209000,0.950000
262,0.943383,-0.869771,0.913259,5,-1214,1.174905,3,1.947900,461.870000,-66.438000,6.952000,0.950000
263,1.013997,-0.887322,1.121000,5,-1100,0.852381,6,1.947900,504.660000,-69.210000,7.292000,0.950000
264,0.982452,-1.067114,1.120470,9,-999,1.192826,6,1.947900,485.680000,-67.999000,7.143000,0.950000
265,1.099766,-0.908012,0.953412,5,-809,1.055296,7,1.947900,554.650000,-72.294000,7.672000,0.950000
266,1.098056,-0.997952,1.047849,9,-1345,0.755458,5,1.947900,553.680000,-72.236000,7.665000,0.950000
267,1.066567,-0.931551,0.978129,10,-1387,1.311637,6,1.938000,520.990000,-69.008000,7.550000,1.005100
268,0.953826,-0.936792,1.004043,6,-1003,1.098243,5,1.947900,468.260000,-66.862000,7.003000,0.950000
269,1.049835,-0.940564,0.987593,5,-750,1.267613,5,1.947900,525.870000,-70.535000,7.456000,0.950000
270,0.945574,-1.067024,1.120376,5,-852,0.734185,6,1.947900,463.210000,-66.528000,6.963000,0.950000
271,0.955006,-0.860789,0.903829,6,-617,1.266243,4,1.947900,468.980000,-66.910000,7.009000,0.950000
272,1.021313,-0.973572,1.022251,5,-1241,1.301298,3,1.947900,509.020000,-69.485000,7.326000,0.950000
273,0.935721,-1.109960,1.165458,5,-761,1.116709,6,1.947900,457.160000,-66.124000,6.914000,0.950000
274,1.019885,-1.124585,1.180814,5,-981,0.878856,4,1.947900,508.170000,-69.431000,7.319000,0.950000
275,0.909193,-0.946107,1.052789,5,-950,1.104055,5,1.947900,440.830000,-65.016000,6.780000,0.950000
276,1.055330,-1.082224,1.136336,5,-979,1.071898,4,1.947900,529.090000,-70.733000,7.480000,0.950000
277,0.908510,-0.907906,0.976604,5,-741,1.246937,7,1.947900,440.400000,-64.987000,6.777000,0.950000
278,0.940270,-1.117583,1.173462,9,-1360,0.603545,6,1.947900,459.960000,-66.311000,6.936000,0.950000
279,1.094040,-1.110553,1.166081,6,-662,1.267033,5,1.947900,551.400000,-72.098000,7.648000,0.950000
280,1.022947,-0.965424,1.013696,5,-1191,0.653414,6,1.947900,510.000000,-69.546000,7.333000,0.950000
281,1.069796,-0.981823,1.030914,5,-1374,1.174635,4,1.947900,537.500000,-71.250000,7.544000,0.950000
282,0.934961,-0.906715,0.979285,9,-1186,0.764473,6,1.947900,456.700000,-66.093000,6.910000,0.950000
283,0.975640,-1.094461,1.149185,6,-1340,0.798252,6,1.947900,481.550000,-67.731000,7.110000,0.950000
284,1.097463,-0.886228,0.930539,7,-871,0.650426,5,1.947900,553.350000,-72.215000,7.662000,0.950000
