threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,2.5632,3,4.69,3,False,Robust plateau | baseline outside
0.975,2.6306,2,3.12,2,False,Thin plateau | baseline outside
0.99,2.6711,1,1.56,1,False,Single-cell peak | baseline outside
