n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,1.9455,496.27,-68.678,0.0,0.0
1,40.4%,1.744,338.44,-68.678,-0.2015,-157.83
3,"40.4%, 37.3%, 36.2%",1.3244,147.58,-68.678,-0.6211,-348.69
5,"40.4%, 37.3%, 36.2%, 26.2%, 26.0%",0.9672,61.63,-68.678,-0.9783,-434.64
10,"40.4%, 37.3%, 36.2%, 26.2%, 26.0% … +5 more",0.1261,-34.03,-79.685,-1.8194,-530.3
