threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,1.9047,9,90.0,9,False,Robust plateau | baseline outside
0.975,1.9549,2,20.0,2,False,Thin plateau | baseline outside
0.99,1.9849,2,20.0,2,False,Thin plateau | baseline outside
