threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,2.1581,18,25.71,7,False,Robust plateau | baseline outside
0.975,2.2149,2,2.86,2,False,Thin plateau | baseline outside
0.99,2.249,1,1.43,1,False,Single-cell peak | baseline outside
