blocks_removed,removed_returns,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,1.9455,496.27,-68.678,0.0,0.0
1,+198.7%,1.2001,118.58,-73.961,-0.7453,-377.69
2,"+198.7%, +101.0%",0.6066,9.61,-74.056,-1.3389,-486.66
3,"+198.7%, +101.0%, +75.7%",0.1541,-30.71,-74.29,-1.7914,-526.98
