threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,2.1692,22,11.11,22,False,Robust plateau | baseline outside
0.975,2.2263,11,5.56,11,False,Robust plateau | baseline outside
0.99,2.2606,11,5.56,11,False,Robust plateau | baseline outside
