TRAIL_DD,EARLY_X,Sharpe,MaxDD%,WF_CV,Fold5_Sharpe,Fold8_Sharpe,Flat_days
0.04,35,0.065,-56.46,6.635,2.202,-5.528,64
0.05,35,1.832,-45.31,4.409,4.177,0.602,64
0.06,35,2.036,-46.49,1.064,2.248,3.546,64
0.07,35,2.28,-48.29,0.917,2.266,5.552,64
0.08,35,2.262,-50.82,0.981,1.749,5.325,64
0.09,35,2.179,-51.77,0.884,0.92,5.194,64
0.1,35,2.074,-52.35,0.921,0.563,5.028,64
0.11,35,2.217,-49.46,0.946,0.391,5.028,64
0.12,35,2.123,-50.06,0.98,0.158,5.028,64
0.13,35,2.096,-50.65,0.969,0.381,5.028,64
0.14,35,2.079,-51.24,1.003,-0.197,5.028,64
0.15,35,2.085,-49.65,1.017,-0.371,5.028,64
0.16,35,2.114,-49.65,0.949,1.406,5.028,64
