EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.07,0.001,1.2,0.8013,39.03,-41.503,0.94,1.5002,False
0.07,0.001,1.3,0.7768,36.4,-43.868,0.83,1.5276,False
0.07,0.001,1.4,0.754,33.48,-46.171,0.725,1.5713,False
0.07,0.001,1.5,0.7332,30.36,-48.411,0.627,1.5929,False
0.07,0.001,1.6,0.7142,27.06,-50.59,0.535,1.6017,False
0.07,0.001,1.7,0.7053,24.73,-52.709,0.469,1.6082,False
0.07,0.001,1.8,0.7281,26.49,-54.769,0.484,1.5681,False
0.07,0.001,1.9,0.757,29.23,-56.769,0.515,1.5166,False
0.07,0.001,2.0,0.799,34.14,-58.712,0.582,1.4458,False
0.07,0.001,2.5,0.7873,32.35,-58.712,0.551,1.4593,False
0.07,0.001,3.0,0.7873,32.35,-58.712,0.551,1.4593,False
0.07,0.0015,1.2,0.8013,39.03,-41.503,0.94,1.5002,False
0.07,0.0015,1.3,0.7768,36.4,-43.868,0.83,1.5276,False
0.07,0.0015,1.4,0.754,33.48,-46.171,0.725,1.5713,False
0.07,0.0015,1.5,0.7332,30.36,-48.411,0.627,1.5929,False
0.07,0.0015,1.6,0.7142,27.06,-50.59,0.535,1.6017,False
0.07,0.0015,1.7,0.7053,24.73,-52.709,0.469,1.6082,False
0.07,0.0015,1.8,0.7281,26.49,-54.769,0.484,1.5681,False
0.07,0.0015,1.9,0.757,29.23,-56.769,0.515,1.5166,False
0.07,0.0015,2.0,0.799,34.14,-58.712,0.582,1.4458,False
0.07,0.0015,2.5,0.7873,32.35,-58.712,0.551,1.4593,False
0.07,0.0015,3.0,0.7873,32.35,-58.712,0.551,1.4593,False
0.07,0.003,1.2,0.8013,39.03,-41.503,0.94,1.5002,False
0.07,0.003,1.3,0.7768,36.4,-43.868,0.83,1.5276,False
0.07,0.003,1.4,0.754,33.48,-46.171,0.725,1.5713,False
0.07,0.003,1.5,0.7332,30.36,-48.411,0.627,1.5929,False
0.07,0.003,1.6,0.7142,27.06,-50.59,0.535,1.6017,False
0.07,0.003,1.7,0.7053,24.73,-52.709,0.469,1.6082,False
0.07,0.003,1.8,0.7281,26.49,-54.769,0.484,1.5681,False
0.07,0.003,1.9,0.757,29.23,-56.769,0.515,1.5166,False
0.07,0.003,2.0,0.799,34.14,-58.712,0.582,1.4458,False
0.07,0.003,2.5,0.7873,32.35,-58.712,0.551,1.4593,False
0.07,0.003,3.0,0.7873,32.35,-58.712,0.551,1.4593,False
0.08,0.001,1.2,0.8514,45.06,-41.509,1.086,1.7342,False
0.08,0.001,1.3,0.8397,44.1,-43.868,1.005,1.7287,False
0.08,0.001,1.4,0.8216,41.86,-46.171,0.907,1.7356,False
0.08,0.001,1.5,0.8094,40.0,-48.428,0.826,1.7399,False
0.08,0.001,1.6,0.8074,39.2,-50.623,0.774,1.742,False
0.08,0.001,1.7,0.8327,42.21,-52.755,0.8,1.6882,False
0.08,0.001,1.8,0.8625,46.11,-54.825,0.841,1.6274,False
0.08,0.001,1.9,0.91,53.27,-56.833,0.937,1.5363,False
0.08,0.001,2.0,0.9506,59.99,-58.782,1.021,1.4628,False
0.08,0.001,2.5,0.939,57.85,-58.782,0.984,1.4761,False
0.08,0.001,3.0,0.939,57.85,-58.782,0.984,1.4761,False
0.08,0.0015,1.2,0.8514,45.06,-41.509,1.086,1.7342,False
0.08,0.0015,1.3,0.8397,44.1,-43.868,1.005,1.7287,False
0.08,0.0015,1.4,0.8216,41.86,-46.171,0.907,1.7356,False
0.08,0.0015,1.5,0.8094,40.0,-48.428,0.826,1.7399,False
0.08,0.0015,1.6,0.8074,39.2,-50.623,0.774,1.742,False
0.08,0.0015,1.7,0.8327,42.21,-52.755,0.8,1.6882,False
0.08,0.0015,1.8,0.8625,46.11,-54.825,0.841,1.6274,False
0.08,0.0015,1.9,0.91,53.27,-56.833,0.937,1.5363,False
0.08,0.0015,2.0,0.9506,59.99,-58.782,1.021,1.4628,False
0.08,0.0015,2.5,0.939,57.85,-58.782,0.984,1.4761,False
