Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.02,0.7355,-0.0788,0.1834,287,
CAGR%,level,1,-0.0675,0.1845,-0.0778,0.1261,388,
Sharpe,level,1,-0.0828,0.1151,-0.0739,0.16,363,
AvgDailyRet%,level,1,-0.0867,0.0881,-0.0676,0.184,388,
Sortino,delta,1,0.0741,0.1456,0.0646,0.2051,387,
Sharpe,delta,1,0.0638,0.2258,0.03,0.5693,362,
CAGR%,delta,1,0.0598,0.2408,0.0279,0.5843,387,
AvgDailyRet%,delta,1,0.0384,0.451,0.026,0.6099,387,
Sortino,level,1,-0.0643,0.2065,-0.0081,0.8742,388,
Calmar,delta,1,-0.0,0.9996,-0.0011,0.9859,286,
Sharpe,level,3,-0.2049,0.0001,-0.1295,0.0138,361,yes
CAGR%,level,3,-0.1743,0.0006,-0.1251,0.0139,386,yes
Calmar,level,3,-0.0404,0.4955,-0.1154,0.0508,287,
AvgDailyRet%,level,3,-0.1765,0.0005,-0.1139,0.0253,386,yes
Sortino,level,3,-0.1488,0.0034,-0.0808,0.113,386,
Sortino,delta,3,-0.019,0.71,0.0776,0.1283,385,
Sharpe,delta,3,0.0234,0.6581,0.0463,0.3813,360,
AvgDailyRet%,delta,3,0.0042,0.9352,0.0374,0.4646,385,
Calmar,delta,3,0.0,1.0,-0.0299,0.6143,286,
CAGR%,delta,3,-0.0453,0.375,0.0236,0.6441,385,
Sharpe,level,5,-0.2575,0.0,-0.2082,0.0001,359,yes
CAGR%,level,5,-0.1174,0.0214,-0.1808,0.0004,384,yes
AvgDailyRet%,level,5,-0.2089,0.0,-0.1792,0.0004,384,yes
Calmar,level,5,-0.0551,0.3519,-0.1634,0.0055,287,yes
Sortino,level,5,-0.1574,0.002,-0.1465,0.004,384,yes
CAGR%,delta,5,-0.0627,0.2205,-0.059,0.2495,383,
Sortino,delta,5,-0.0524,0.3064,-0.0402,0.4327,383,
Calmar,delta,5,-0.0,1.0,-0.0302,0.6112,286,
AvgDailyRet%,delta,5,-0.0177,0.7304,-0.0297,0.5618,383,
Sharpe,delta,5,-0.0176,0.74,-0.0112,0.8332,358,
