EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.07,0.001,1.2,1.0978,77.87,-60.932,1.278,0.8249,False
0.07,0.001,1.3,1.0703,75.68,-63.278,1.196,0.8371,False
0.07,0.001,1.4,1.0757,78.05,-64.454,1.211,0.8493,False
0.07,0.001,1.5,1.0698,78.55,-65.73,1.195,0.8617,False
0.07,0.001,1.6,1.0491,76.37,-67.179,1.137,0.8736,False
0.07,0.001,1.7,1.0447,76.79,-68.051,1.128,0.8885,False
0.07,0.001,1.8,1.0454,78.0,-68.817,1.133,0.9027,False
0.07,0.001,1.9,1.0427,78.5,-69.702,1.126,0.9158,False
0.07,0.001,2.0,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.001,2.5,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.001,3.0,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.0015,1.2,1.0978,77.87,-60.932,1.278,0.8249,False
0.07,0.0015,1.3,1.0703,75.68,-63.278,1.196,0.8371,False
0.07,0.0015,1.4,1.0757,78.05,-64.454,1.211,0.8493,False
0.07,0.0015,1.5,1.0698,78.55,-65.73,1.195,0.8617,False
0.07,0.0015,1.6,1.0491,76.37,-67.179,1.137,0.8736,False
0.07,0.0015,1.7,1.0447,76.79,-68.051,1.128,0.8885,False
0.07,0.0015,1.8,1.0454,78.0,-68.817,1.133,0.9027,False
0.07,0.0015,1.9,1.0427,78.5,-69.702,1.126,0.9158,False
0.07,0.0015,2.0,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.0015,2.5,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.0015,3.0,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.003,1.2,1.0978,77.87,-60.932,1.278,0.8249,False
0.07,0.003,1.3,1.0703,75.68,-63.278,1.196,0.8371,False
0.07,0.003,1.4,1.0757,78.05,-64.454,1.211,0.8493,False
0.07,0.003,1.5,1.0698,78.55,-65.73,1.195,0.8617,False
0.07,0.003,1.6,1.0491,76.37,-67.179,1.137,0.8736,False
0.07,0.003,1.7,1.0447,76.79,-68.051,1.128,0.8885,False
0.07,0.003,1.8,1.0454,78.0,-68.817,1.133,0.9027,False
0.07,0.003,1.9,1.0427,78.5,-69.702,1.126,0.9158,False
0.07,0.003,2.0,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.003,2.5,1.0386,78.59,-70.611,1.113,0.9283,False
0.07,0.003,3.0,1.0386,78.59,-70.611,1.113,0.9283,False
0.08,0.001,1.2,0.9212,54.12,-60.932,0.888,1.1342,False
0.08,0.001,1.3,0.9486,58.7,-62.953,0.932,1.1087,False
0.08,0.001,1.4,0.9695,62.56,-64.106,0.976,1.1278,False
0.08,0.001,1.5,0.9559,61.3,-65.583,0.935,1.1429,False
0.08,0.001,1.6,0.9325,58.31,-67.012,0.87,1.157,False
0.08,0.001,1.7,0.9295,58.32,-67.68,0.862,1.174,False
0.08,0.001,1.8,0.919,57.02,-68.56,0.832,1.1901,False
0.08,0.001,1.9,0.9109,55.91,-69.474,0.805,1.2047,False
0.08,0.001,2.0,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.001,2.5,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.001,3.0,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.0015,1.2,0.9212,54.12,-60.932,0.888,1.1342,False
0.08,0.0015,1.3,0.9486,58.7,-62.953,0.932,1.1087,False
0.08,0.0015,1.4,0.9695,62.56,-64.106,0.976,1.1278,False
0.08,0.0015,1.5,0.9559,61.3,-65.583,0.935,1.1429,False
0.08,0.0015,1.6,0.9325,58.31,-67.012,0.87,1.157,False
0.08,0.0015,1.7,0.9295,58.32,-67.68,0.862,1.174,False
0.08,0.0015,1.8,0.919,57.02,-68.56,0.832,1.1901,False
0.08,0.0015,1.9,0.9109,55.91,-69.474,0.805,1.2047,False
0.08,0.0015,2.0,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.0015,2.5,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.0015,3.0,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.003,1.2,0.9212,54.12,-60.932,0.888,1.1342,False
0.08,0.003,1.3,0.9486,58.7,-62.953,0.932,1.1087,False
0.08,0.003,1.4,0.9695,62.56,-64.106,0.976,1.1278,False
0.08,0.003,1.5,0.9559,61.3,-65.583,0.935,1.1429,False
0.08,0.003,1.6,0.9325,58.31,-67.012,0.87,1.157,False
0.08,0.003,1.7,0.9295,58.32,-67.68,0.862,1.174,False
0.08,0.003,1.8,0.919,57.02,-68.56,0.832,1.1901,False
0.08,0.003,1.9,0.9109,55.91,-69.474,0.805,1.2047,False
0.08,0.003,2.0,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.003,2.5,0.9051,55.03,-70.41,0.782,1.2152,False
0.08,0.003,3.0,0.9051,55.03,-70.41,0.782,1.2152,False
0.09,0.001,1.2,0.9783,62.11,-60.932,1.019,1.1119,False
0.09,0.001,1.3,1.0083,67.72,-62.594,1.082,1.1143,False
0.09,0.001,1.4,1.0153,70.05,-63.976,1.095,1.1307,False
0.09,0.001,1.5,1.0041,69.32,-65.464,1.059,1.1444,False
0.09,0.001,1.6,0.9898,67.78,-66.605,1.018,1.1578,False
0.09,0.001,1.7,0.9796,66.8,-67.454,0.99,1.1741,False
0.09,0.001,1.8,0.9685,65.5,-68.363,0.958,1.1894,False
0.09,0.001,1.9,0.9602,64.51,-69.303,0.931,1.2027,False
