EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.07,0.001,1.2,2.242,583.48,-35.172,16.59,1.0868,False
0.07,0.001,1.3,2.2474,624.72,-35.993,17.356,1.0615,False
0.07,0.001,1.4,2.2349,650.52,-36.884,17.637,1.0396,False
0.07,0.001,1.5,2.3206,766.57,-37.461,20.464,0.9635,False
0.07,0.001,1.6,2.4517,962.19,-37.899,25.388,0.89,False
0.07,0.001,1.7,2.5461,1142.16,-38.338,29.792,0.84,False
0.07,0.001,1.8,2.5817,1249.96,-38.776,32.235,0.829,False
0.07,0.001,1.9,2.5997,1330.64,-39.463,33.719,0.8191,False
0.07,0.001,2.0,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.001,2.5,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.001,3.0,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.0015,1.2,2.242,583.48,-35.172,16.59,1.0868,False
0.07,0.0015,1.3,2.2474,624.72,-35.993,17.356,1.0615,False
0.07,0.0015,1.4,2.2349,650.52,-36.884,17.637,1.0396,False
0.07,0.0015,1.5,2.3206,766.57,-37.461,20.464,0.9635,False
0.07,0.0015,1.6,2.4517,962.19,-37.899,25.388,0.89,False
0.07,0.0015,1.7,2.5461,1142.16,-38.338,29.792,0.84,False
0.07,0.0015,1.8,2.5817,1249.96,-38.776,32.235,0.829,False
0.07,0.0015,1.9,2.5997,1330.64,-39.463,33.719,0.8191,False
0.07,0.0015,2.0,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.0015,2.5,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.0015,3.0,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.003,1.2,2.242,583.48,-35.172,16.59,1.0868,False
0.07,0.003,1.3,2.2474,624.72,-35.993,17.356,1.0615,False
0.07,0.003,1.4,2.2349,650.52,-36.884,17.637,1.0396,False
0.07,0.003,1.5,2.3206,766.57,-37.461,20.464,0.9635,False
0.07,0.003,1.6,2.4517,962.19,-37.899,25.388,0.89,False
0.07,0.003,1.7,2.5461,1142.16,-38.338,29.792,0.84,False
0.07,0.003,1.8,2.5817,1249.96,-38.776,32.235,0.829,False
0.07,0.003,1.9,2.5997,1330.64,-39.463,33.719,0.8191,False
0.07,0.003,2.0,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.003,2.5,2.6072,1398.39,-40.688,34.369,0.8101,False
0.07,0.003,3.0,2.6072,1398.39,-40.688,34.369,0.8101,False
0.08,0.001,1.2,2.6299,1083.44,-35.172,30.804,0.8443,False
0.08,0.001,1.3,2.6523,1201.39,-35.965,33.404,0.8096,False
0.08,0.001,1.4,2.7382,1428.41,-36.408,39.233,0.7545,False
0.08,0.001,1.5,2.8507,1748.88,-36.851,47.458,0.6981,False
0.08,0.001,1.6,2.8967,1958.39,-37.294,52.512,0.6732,False
0.08,0.001,1.7,2.9254,2135.91,-37.696,56.662,0.6645,False
0.08,0.001,1.8,2.9572,2344.92,-38.228,61.34,0.6565,False
0.08,0.001,1.9,2.9792,2551.61,-39.463,64.659,0.6484,False
0.08,0.001,2.0,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.001,2.5,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.001,3.0,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.0015,1.2,2.6299,1083.44,-35.172,30.804,0.8443,False
0.08,0.0015,1.3,2.6523,1201.39,-35.965,33.404,0.8096,False
0.08,0.0015,1.4,2.7382,1428.41,-36.408,39.233,0.7545,False
0.08,0.0015,1.5,2.8507,1748.88,-36.851,47.458,0.6981,False
0.08,0.0015,1.6,2.8967,1958.39,-37.294,52.512,0.6732,False
0.08,0.0015,1.7,2.9254,2135.91,-37.696,56.662,0.6645,False
0.08,0.0015,1.8,2.9572,2344.92,-38.228,61.34,0.6565,False
0.08,0.0015,1.9,2.9792,2551.61,-39.463,64.659,0.6484,False
0.08,0.0015,2.0,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.0015,2.5,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.0015,3.0,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.003,1.2,2.6299,1083.44,-35.172,30.804,0.8443,False
0.08,0.003,1.3,2.6523,1201.39,-35.965,33.404,0.8096,False
0.08,0.003,1.4,2.7382,1428.41,-36.408,39.233,0.7545,False
0.08,0.003,1.5,2.8507,1748.88,-36.851,47.458,0.6981,False
0.08,0.003,1.6,2.8967,1958.39,-37.294,52.512,0.6732,False
0.08,0.003,1.7,2.9254,2135.91,-37.696,56.662,0.6645,False
0.08,0.003,1.8,2.9572,2344.92,-38.228,61.34,0.6565,False
0.08,0.003,1.9,2.9792,2551.61,-39.463,64.659,0.6484,False
0.08,0.003,2.0,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.003,2.5,2.9965,2747.0,-40.688,67.514,0.6401,False
0.08,0.003,3.0,2.9965,2747.0,-40.688,67.514,0.6401,False
0.09,0.001,1.2,3.0078,2057.19,-35.091,58.625,0.6824,False
0.09,0.001,1.3,3.0969,2491.38,-35.537,70.106,0.6449,False
0.09,0.001,1.4,3.1443,2819.01,-35.984,78.342,0.615,False
0.09,0.001,1.5,3.1781,3136.18,-36.235,86.55,0.6011,False
0.09,0.001,1.6,3.2137,3478.99,-36.235,96.011,0.5924,False
0.09,0.001,1.7,3.2473,3861.36,-36.984,104.406,0.5849,False
0.09,0.001,1.8,3.2791,4291.7,-38.228,112.266,0.5778,False
0.09,0.001,1.9,3.3013,4676.14,-39.463,118.495,0.5707,False
0.09,0.001,2.0,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.001,2.5,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.001,3.0,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.0015,1.2,3.0078,2057.19,-35.091,58.625,0.6824,False
0.09,0.0015,1.3,3.0969,2491.38,-35.537,70.106,0.6449,False
0.09,0.0015,1.4,3.1443,2819.01,-35.984,78.342,0.615,False
0.09,0.0015,1.5,3.1781,3136.18,-36.235,86.55,0.6011,False
0.09,0.0015,1.6,3.2137,3478.99,-36.235,96.011,0.5924,False
0.09,0.0015,1.7,3.2473,3861.36,-36.984,104.406,0.5849,False
0.09,0.0015,1.8,3.2791,4291.7,-38.228,112.266,0.5778,False
0.09,0.0015,1.9,3.3013,4676.14,-39.463,118.495,0.5707,False
0.09,0.0015,2.0,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.0015,2.5,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.0015,3.0,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.003,1.2,3.0078,2057.19,-35.091,58.625,0.6824,False
0.09,0.003,1.3,3.0969,2491.38,-35.537,70.106,0.6449,False
0.09,0.003,1.4,3.1443,2819.01,-35.984,78.342,0.615,False
0.09,0.003,1.5,3.1781,3136.18,-36.235,86.55,0.6011,False
0.09,0.003,1.6,3.2137,3478.99,-36.235,96.011,0.5924,False
0.09,0.003,1.7,3.2473,3861.36,-36.984,104.406,0.5849,False
0.09,0.003,1.8,3.2791,4291.7,-38.228,112.266,0.5778,False
0.09,0.003,1.9,3.3013,4676.14,-39.463,118.495,0.5707,False
0.09,0.003,2.0,3.3215,5097.11,-40.688,125.273,0.5635,True
0.09,0.003,2.5,3.3215,5097.11,-40.688,125.273,0.5635,False
0.09,0.003,3.0,3.3215,5097.11,-40.688,125.273,0.5635,False
0.1,0.001,1.2,2.4646,1163.58,-37.59,30.954,0.7805,False
0.1,0.001,1.3,2.471,1276.07,-38.533,33.116,0.7633,False
0.1,0.001,1.4,2.5094,1468.35,-39.467,37.204,0.7357,False
0.1,0.001,1.5,2.5491,1697.03,-40.394,42.012,0.7127,False
0.1,0.001,1.6,2.602,1972.4,-41.313,47.743,0.6934,False
0.1,0.001,1.7,2.6589,2320.2,-42.224,54.95,0.671,False
0.1,0.001,1.8,2.7086,2667.71,-43.127,61.857,0.6478,False
0.1,0.001,1.9,2.7624,3128.12,-44.022,71.058,0.62,False
0.1,0.001,2.0,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.001,2.5,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.001,3.0,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.0015,1.2,2.4646,1163.58,-37.59,30.954,0.7805,False
0.1,0.0015,1.3,2.471,1276.07,-38.533,33.116,0.7633,False
0.1,0.0015,1.4,2.5094,1468.35,-39.467,37.204,0.7357,False
0.1,0.0015,1.5,2.5491,1697.03,-40.394,42.012,0.7127,False
0.1,0.0015,1.6,2.602,1972.4,-41.313,47.743,0.6934,False
0.1,0.0015,1.7,2.6589,2320.2,-42.224,54.95,0.671,False
0.1,0.0015,1.8,2.7086,2667.71,-43.127,61.857,0.6478,False
0.1,0.0015,1.9,2.7624,3128.12,-44.022,71.058,0.62,False
0.1,0.0015,2.0,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.0015,2.5,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.0015,3.0,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.003,1.2,2.4646,1163.58,-37.59,30.954,0.7805,False
0.1,0.003,1.3,2.471,1276.07,-38.533,33.116,0.7633,False
0.1,0.003,1.4,2.5094,1468.35,-39.467,37.204,0.7357,False
0.1,0.003,1.5,2.5491,1697.03,-40.394,42.012,0.7127,False
0.1,0.003,1.6,2.602,1972.4,-41.313,47.743,0.6934,False
0.1,0.003,1.7,2.6589,2320.2,-42.224,54.95,0.671,False
0.1,0.003,1.8,2.7086,2667.71,-43.127,61.857,0.6478,False
0.1,0.003,1.9,2.7624,3128.12,-44.022,71.058,0.62,False
0.1,0.003,2.0,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.003,2.5,2.7804,3393.03,-44.909,75.553,0.5995,False
0.1,0.003,3.0,2.7804,3393.03,-44.909,75.553,0.5995,False
0.11,0.001,1.2,2.4818,1238.77,-44.246,27.997,0.8178,False
0.11,0.001,1.3,2.4852,1350.38,-46.042,29.329,0.8054,False
0.11,0.001,1.4,2.5131,1527.92,-46.907,32.573,0.7866,False
0.11,0.001,1.5,2.5434,1732.47,-47.797,36.246,0.7716,False
0.11,0.001,1.6,2.5806,1957.34,-48.71,40.184,0.7594,False
0.11,0.001,1.7,2.6142,2212.83,-49.644,44.574,0.7486,False
0.11,0.001,1.8,2.6475,2490.36,-50.607,49.21,0.739,False
0.11,0.001,1.9,2.6608,2709.3,-51.597,52.509,0.7301,False
0.11,0.001,2.0,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.001,2.5,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.001,3.0,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.0015,1.2,2.4818,1238.77,-44.246,27.997,0.8178,False
0.11,0.0015,1.3,2.4852,1350.38,-46.042,29.329,0.8054,False
0.11,0.0015,1.4,2.5131,1527.92,-46.907,32.573,0.7866,False
0.11,0.0015,1.5,2.5434,1732.47,-47.797,36.246,0.7716,False
0.11,0.0015,1.6,2.5806,1957.34,-48.71,40.184,0.7594,False
0.11,0.0015,1.7,2.6142,2212.83,-49.644,44.574,0.7486,False
0.11,0.0015,1.8,2.6475,2490.36,-50.607,49.21,0.739,False
0.11,0.0015,1.9,2.6608,2709.3,-51.597,52.509,0.7301,False
0.11,0.0015,2.0,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.0015,2.5,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.0015,3.0,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.003,1.2,2.4818,1238.77,-44.246,27.997,0.8178,False
0.11,0.003,1.3,2.4852,1350.38,-46.042,29.329,0.8054,False
0.11,0.003,1.4,2.5131,1527.92,-46.907,32.573,0.7866,False
0.11,0.003,1.5,2.5434,1732.47,-47.797,36.246,0.7716,False
0.11,0.003,1.6,2.5806,1957.34,-48.71,40.184,0.7594,False
0.11,0.003,1.7,2.6142,2212.83,-49.644,44.574,0.7486,False
0.11,0.003,1.8,2.6475,2490.36,-50.607,49.21,0.739,False
0.11,0.003,1.9,2.6608,2709.3,-51.597,52.509,0.7301,False
0.11,0.003,2.0,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.003,2.5,2.6516,2795.57,-52.597,53.151,0.722,False
0.11,0.003,3.0,2.6516,2795.57,-52.597,53.151,0.722,False
