Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sharpe,level,1,-0.0516,0.3141,-0.0728,0.1552,383,
CAGR%,level,1,-0.0499,0.3267,-0.0681,0.1809,388,
Calmar,level,1,-0.0118,0.8298,-0.0613,0.2634,335,
AvgDailyRet%,level,1,-0.0342,0.5023,-0.0598,0.2396,388,
Sortino,delta,1,0.0324,0.5253,0.0414,0.4168,387,
Calmar,delta,1,0.0451,0.4114,0.0399,0.4679,334,
Sharpe,delta,1,0.0944,0.0652,0.0358,0.486,382,
Sortino,level,1,-0.0696,0.1714,-0.0316,0.5352,388,
AvgDailyRet%,delta,1,0.0394,0.4399,0.0185,0.716,387,
CAGR%,delta,1,0.0511,0.3159,0.0168,0.7414,387,
Sharpe,level,3,-0.137,0.0074,-0.141,0.0058,381,yes
CAGR%,level,3,-0.1325,0.0091,-0.1126,0.0269,386,yes
AvgDailyRet%,level,3,-0.0789,0.1219,-0.1063,0.0368,386,yes
Sortino,level,3,-0.1084,0.0332,-0.1059,0.0376,386,yes
Calmar,level,3,-0.0105,0.848,-0.1033,0.0589,335,
Sortino,delta,3,-0.0486,0.342,0.0554,0.2786,385,
Sharpe,delta,3,0.0353,0.4929,0.0427,0.4068,380,
AvgDailyRet%,delta,3,0.0087,0.865,0.0339,0.507,385,
CAGR%,delta,3,-0.0264,0.6058,0.0164,0.7488,385,
Calmar,delta,3,0.0052,0.9251,0.0001,0.9979,334,
Sharpe,level,5,-0.1736,0.0007,-0.1986,0.0001,379,yes
CAGR%,level,5,-0.0914,0.0736,-0.1352,0.008,384,yes
Sortino,level,5,-0.1128,0.0271,-0.1322,0.0095,384,yes
AvgDailyRet%,level,5,-0.0944,0.0647,-0.1307,0.0103,384,yes
Calmar,level,5,-0.007,0.8991,-0.095,0.0825,335,
Calmar,delta,5,0.0137,0.8024,0.0217,0.6925,334,
Sortino,delta,5,-0.0134,0.7944,0.0183,0.7205,383,
AvgDailyRet%,delta,5,0.0239,0.6415,0.0173,0.7353,383,
Sharpe,delta,5,0.0046,0.9291,0.0168,0.7446,378,
CAGR%,delta,5,-0.0287,0.5754,-0.0068,0.8952,383,
