Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
AvgDailyRet%,delta,1,0.0475,0.3576,0.0347,0.5022,377,
Sortino,level,1,0.0639,0.2153,0.0328,0.5248,378,
Sharpe,delta,1,0.0382,0.4598,0.0292,0.5722,377,
Sortino,delta,1,0.053,0.3047,0.029,0.5748,377,
CAGR%,level,1,-0.0757,0.1418,0.0271,0.5993,378,
AvgDailyRet%,level,1,0.0492,0.3398,0.0222,0.6665,378,
Calmar,delta,1,-0.0816,0.1139,0.0218,0.6729,377,
Sharpe,level,1,0.0505,0.3272,0.0213,0.6804,378,
CAGR%,delta,1,-0.0857,0.0966,0.0124,0.8106,377,
Calmar,level,1,-0.0885,0.0859,0.0099,0.848,378,
Calmar,delta,3,-0.0195,0.7064,0.0819,0.1132,375,
Sortino,delta,3,0.0793,0.1255,0.0786,0.1286,375,
AvgDailyRet%,delta,3,0.0894,0.0837,0.0776,0.1339,375,
CAGR%,delta,3,-0.0101,0.8453,0.0664,0.1995,375,
Sharpe,delta,3,0.0637,0.2183,0.0661,0.2016,375,
Sortino,level,3,0.0798,0.1225,0.0378,0.465,376,
CAGR%,level,3,-0.0433,0.4027,0.0271,0.6005,376,
Sharpe,level,3,0.0669,0.1955,0.0206,0.6899,376,
AvgDailyRet%,level,3,0.0583,0.2591,0.0191,0.7119,376,
Calmar,level,3,-0.0648,0.2102,-0.0025,0.9614,376,
Sortino,delta,5,0.0966,0.0625,0.1004,0.0528,373,
Sharpe,delta,5,0.1062,0.0404,0.1001,0.0534,373,
AvgDailyRet%,delta,5,0.1016,0.05,0.098,0.0586,373,
Calmar,delta,5,-0.0112,0.8297,0.0795,0.1255,373,
CAGR%,delta,5,-0.0078,0.8808,0.0707,0.1729,373,
Calmar,level,5,-0.106,0.0405,-0.0417,0.4218,374,
Sortino,level,5,0.0748,0.1486,0.0289,0.5779,374,
CAGR%,level,5,-0.0929,0.0729,0.013,0.802,374,
Sharpe,level,5,0.0609,0.2402,0.0096,0.8531,374,
AvgDailyRet%,level,5,0.0453,0.3828,0.0056,0.9146,374,
