Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0912,0.0849,-0.0524,0.3231,358,
Sortino,level,1,-0.0866,0.097,-0.044,0.4004,368,
CAGR%,level,1,-0.0855,0.1015,-0.035,0.5037,368,
Sortino,delta,1,0.0668,0.202,0.0349,0.5053,367,
Calmar,delta,1,-0.0328,0.5368,0.0322,0.5438,357,
CAGR%,delta,1,-0.0579,0.2683,0.0285,0.5867,367,
AvgDailyRet%,level,1,-0.0494,0.3448,-0.0282,0.5898,368,
Sharpe,level,1,-0.0272,0.6044,-0.0277,0.5984,365,
AvgDailyRet%,delta,1,-0.0057,0.9135,0.0257,0.6233,367,
Sharpe,delta,1,0.042,0.4248,0.0162,0.758,364,
Sortino,level,3,-0.2173,0.0,-0.0806,0.1235,366,
Calmar,level,3,-0.1293,0.0147,-0.0781,0.1415,356,
Sortino,delta,3,-0.0696,0.1847,0.0663,0.2062,365,
Calmar,delta,3,-0.0594,0.2647,0.0657,0.2166,355,
CAGR%,level,3,-0.0865,0.0986,-0.0642,0.2202,366,
CAGR%,delta,3,-0.0446,0.3955,0.0504,0.337,365,
AvgDailyRet%,level,3,-0.0832,0.1122,-0.0493,0.3468,366,
Sharpe,level,3,-0.0739,0.16,-0.0474,0.3679,363,
AvgDailyRet%,delta,3,-0.0347,0.5088,0.0464,0.377,365,
Sharpe,delta,3,0.0269,0.6093,0.0347,0.5105,362,
Sortino,level,5,-0.1589,0.0024,-0.1011,0.0539,364,
Calmar,level,5,-0.1094,0.0396,-0.0969,0.0685,354,
CAGR%,level,5,-0.0844,0.1078,-0.087,0.0974,364,
AvgDailyRet%,level,5,-0.0877,0.0949,-0.069,0.189,364,
Sharpe,level,5,-0.0891,0.091,-0.0654,0.2148,361,
Sortino,delta,5,-0.0199,0.7058,0.0232,0.6596,363,
Calmar,delta,5,-0.0657,0.2184,0.0227,0.6706,353,
CAGR%,delta,5,-0.0371,0.4811,0.015,0.7757,363,
AvgDailyRet%,delta,5,-0.0468,0.3736,0.0029,0.956,363,
Sharpe,delta,5,-0.0278,0.5993,-0.001,0.9853,360,
