Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
AvgDailyRet%,level,1,-0.023,0.6555,-0.0106,0.8371,378,
CAGR%,level,1,-0.1032,0.045,-0.0101,0.8453,378,
CAGR%,delta,1,-0.0425,0.4108,0.0099,0.8488,377,
Sharpe,level,1,0.0061,0.9084,0.0076,0.8865,358,
Calmar,level,1,-0.092,0.101,0.0062,0.9121,319,
Sharpe,delta,1,-0.0078,0.883,-0.0019,0.972,357,
AvgDailyRet%,delta,1,-0.0288,0.5775,0.0016,0.9747,377,
Sortino,level,1,-0.0336,0.5147,-0.0014,0.9786,378,
Sortino,delta,1,-0.0651,0.2072,0.0008,0.9879,377,
Calmar,delta,1,-0.0673,0.2314,0.0005,0.9924,318,
Sharpe,level,3,0.0225,0.6722,0.059,0.2668,356,
Sortino,delta,3,-0.0243,0.6394,0.0557,0.2821,375,
Sortino,level,3,0.0197,0.7037,0.0552,0.2858,376,
Calmar,level,3,-0.0464,0.4107,0.0541,0.3367,317,
Calmar,delta,3,-0.065,0.2493,0.046,0.4146,316,
AvgDailyRet%,level,3,-0.0084,0.8716,0.0281,0.5872,376,
AvgDailyRet%,delta,3,-0.0707,0.172,0.0242,0.6403,375,
Sharpe,delta,3,-0.0299,0.5747,0.0238,0.6556,355,
CAGR%,level,3,-0.1023,0.0476,0.021,0.6841,376,
CAGR%,delta,3,-0.0599,0.2475,0.0135,0.7949,375,
Sortino,delta,5,-0.0021,0.9671,0.0671,0.1962,373,
Sharpe,level,5,0.0317,0.5516,0.0557,0.2961,354,
Sharpe,delta,5,0.0149,0.7809,0.0521,0.3289,353,
Calmar,level,5,-0.052,0.3575,0.0444,0.4319,315,
AvgDailyRet%,delta,5,-0.0177,0.7338,0.0427,0.4104,373,
CAGR%,delta,5,-0.0611,0.2388,0.0364,0.4835,373,
AvgDailyRet%,level,5,0.0129,0.8041,0.0303,0.5595,374,
Calmar,delta,5,-0.05,0.3769,0.0294,0.6034,314,
Sortino,level,5,0.0187,0.7188,0.0209,0.6874,374,
CAGR%,level,5,-0.0695,0.1796,0.0171,0.7417,374,
