aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.4738,0.94761,2.0334,-0.7564,462.62,-49.79,9.29,Institutional
143844,0.56826,1.13651,1.879,-0.9108,367.49,-51.91,7.08,Survival
206913,0.68154,1.36308,1.6925,-1.0973,274.18,-54.34,5.05,Survival
297635,0.81741,1.63482,1.4671,-1.3227,186.3,-57.38,3.25,Marginal
428133,0.98036,1.96073,1.1945,-1.5953,107.48,-62.37,1.72,Marginal
615848,1.1758,2.35161,0.865,-1.9248,40.81,-67.6,0.6,Unusable
885866,1.41021,2.82041,0.4671,-2.3227,-11.72,-73.39,-0.16,Unusable
1274274,1.69134,3.38267,-0.0121,-2.8019,-49.73,-81.63,-0.61,Unusable
1832980,2.02851,4.05702,-0.5866,-3.3764,-74.52,-89.19,-0.84,Unusable
2636650,2.4329,4.8658,-1.2697,-4.0595,-88.79,-94.96,-0.94,Unusable
3792690,2.91791,5.83582,-2.0712,-4.861,-95.85,-98.0,-0.98,Unusable
5455594,3.49961,6.99921,-2.9932,-5.7829,-98.76,-99.38,-0.99,Unusable
7847599,4.19727,8.39454,-4.0234,-6.8132,-99.71,-99.86,-1.0,Unusable
11288378,5.03401,10.06802,-5.1305,-7.9202,-99.95,-99.98,-1.0,Unusable
16237767,6.03756,12.07512,-6.2619,-9.0517,-99.99,-100.0,-1.0,Unusable
23357214,7.24117,14.48234,-7.352,-10.1418,-100.0,-100.0,-1.0,Unusable
33598182,8.68473,17.36945,-8.3376,-11.1273,-100.0,-100.0,-1.0,Unusable
48329302,10.41606,20.83212,-9.1743,-11.9641,-100.0,-100.0,-1.0,Unusable
69519279,12.49255,24.98509,-9.8456,-12.6354,-100.0,-100.0,-1.0,Unusable
100000000,14.98298,29.96597,-10.3597,-13.1494,-100.0,-100.0,-1.0,Unusable
