threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,2.6536,56,70.0,48,False,Robust plateau | baseline outside
0.975,2.7235,24,30.0,16,False,Robust plateau | baseline outside
0.99,2.7654,16,20.0,8,True,Robust plateau | baseline inside
