EARLY_FILL_X,EARLY_FILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
360,0.07,2.2875,621.87,-44.465,-15.944,13.986,1.4711,False
360,0.08,2.5231,945.94,-44.693,-15.944,21.165,1.3063,False
360,0.09,2.6373,1242.58,-44.693,-15.944,27.802,1.1527,False
360,0.1,2.4127,942.04,-51.87,-15.944,18.162,1.2377,False
360,0.15,2.6689,1748.28,-49.618,-15.944,35.235,1.0219,False
360,0.175,2.7489,2211.42,-49.618,-15.944,44.569,0.9996,False
360,0.2,2.7093,2099.35,-49.618,-15.944,42.31,1.0101,False
360,0.225,2.7553,2718.4,-49.618,-15.944,54.787,0.9193,False
360,0.25,2.7094,2376.14,-49.618,-15.944,47.889,0.926,False
360,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
540,0.07,2.4458,758.2,-42.201,-15.944,17.966,1.3943,False
540,0.08,2.7362,1216.99,-39.762,-15.944,30.607,1.0674,False
540,0.09,2.7624,1338.26,-44.693,-15.944,29.943,1.1404,False
540,0.1,2.4567,963.42,-49.22,-15.944,19.574,1.0953,False
540,0.15,2.6846,1817.61,-49.618,-15.944,36.632,0.9805,False
540,0.175,2.7814,2427.24,-49.618,-15.944,48.919,0.9197,False
540,0.2,2.7559,2438.73,-49.618,-15.944,49.15,0.9079,False
540,0.225,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
540,0.25,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
540,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
600,0.07,2.3324,589.63,-37.307,-15.944,15.805,1.1869,False
600,0.08,2.6146,950.36,-39.762,-15.944,23.901,1.0651,False
600,0.09,2.6808,1121.41,-44.693,-15.944,25.091,1.1404,False
600,0.1,2.4282,898.11,-49.22,-15.944,18.247,1.0957,False
600,0.15,2.6846,1817.61,-49.618,-15.944,36.632,0.9805,False
600,0.175,2.7814,2427.24,-49.618,-15.944,48.919,0.9197,False
600,0.2,2.7559,2438.73,-49.618,-15.944,49.15,0.9079,False
600,0.225,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
600,0.25,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
600,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
660,0.07,2.3015,557.98,-37.307,-15.944,14.956,1.187,False
660,0.08,2.5886,905.93,-39.762,-15.944,22.784,1.0653,False
660,0.09,2.7663,1261.68,-39.762,-15.944,31.731,0.9148,False
660,0.1,2.4286,898.73,-49.22,-15.944,18.259,1.0957,False
660,0.15,2.6924,1820.84,-49.618,-15.944,36.697,0.9852,False
660,0.175,2.7814,2427.24,-49.618,-15.944,48.919,0.9197,False
660,0.2,2.7559,2438.73,-49.618,-15.944,49.15,0.9079,False
660,0.225,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
660,0.25,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
660,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
720,0.07,2.3015,557.98,-37.307,-15.944,14.956,1.187,False
720,0.08,2.5945,911.68,-39.762,-15.944,22.929,1.0639,False
720,0.09,2.7933,1317.37,-39.762,-15.944,33.132,0.915,True
720,0.1,2.5221,1030.82,-46.862,-15.944,21.997,0.8578,False
720,0.15,2.6924,1820.84,-49.618,-15.944,36.697,0.9852,False
720,0.175,2.789,2489.18,-49.618,-15.944,50.167,0.9192,False
720,0.2,2.772,2583.57,-49.618,-15.944,52.07,0.9065,False
720,0.225,2.8153,3351.18,-49.618,-15.944,67.54,0.8114,False
720,0.25,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
720,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
900,0.07,2.3226,547.77,-37.299,-15.944,14.686,1.1311,False
900,0.08,2.5382,805.77,-39.762,-15.944,20.265,1.0658,False
900,0.09,2.8062,1307.92,-39.762,-15.944,32.894,0.9166,False
900,0.1,2.5914,1148.01,-46.862,-15.944,24.498,0.8665,False
900,0.15,2.7965,2414.88,-49.618,-15.944,48.67,0.9761,False
900,0.175,2.8231,2816.65,-49.618,-15.944,56.767,0.9197,False
900,0.2,2.811,2960.53,-49.618,-15.944,59.667,0.9065,False
900,0.225,2.8554,3835.96,-49.618,-15.944,77.31,0.8114,False
900,0.25,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
900,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
1080,0.07,2.2954,524.65,-37.299,-15.944,14.066,1.1518,False
1080,0.08,2.5277,790.24,-39.941,-15.944,19.785,1.07,False
1080,0.09,2.8167,1327.55,-39.762,-15.944,33.388,0.9106,False
1080,0.1,2.5797,1108.55,-46.862,-15.944,23.656,0.868,False
1080,0.15,2.7994,2435.09,-49.618,-15.944,49.077,0.976,False
1080,0.175,2.8462,3064.53,-49.618,-15.944,61.763,0.9197,False
1080,0.2,2.8474,3398.04,-49.618,-15.944,68.484,0.9039,False
1080,0.225,2.886,4301.91,-49.618,-15.944,86.701,0.8114,False
1080,0.25,2.7258,2576.21,-49.618,-15.944,51.921,0.9225,False
1080,0.3,2.7104,3004.9,-49.618,-15.944,60.561,0.8921,False
