mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,5.8044,0.0,5.8043,22574.21,-16.21,2.0806,2.0806,100
return_noise,0.003,5.8044,0.0001,5.8042,22573.96,-16.21,2.0806,2.0805,100
return_noise,0.005,5.8044,0.0002,5.804,22574.24,-16.21,2.0806,2.0804,100
return_noise,0.01,5.806,0.0119,5.8034,22641.73,-16.21,2.0812,2.0802,100
signal_shuffle,0.02,2.7686,0.0712,2.5527,1285.59,-40.1,0.9924,0.915,100
signal_shuffle,0.05,2.7313,0.1471,2.2611,1244.41,-40.7,0.9791,0.8105,100
signal_shuffle,0.1,2.6541,0.1946,2.2212,1150.33,-41.73,0.9513,0.7962,100
signal_shuffle,0.2,2.6124,0.2741,1.5885,1122.17,-42.65,0.9364,0.5694,100
ranking_noise,0.02,2.7631,0.116,2.4332,1284.04,-41.3,0.9904,0.8722,100
ranking_noise,0.05,2.7223,0.2111,2.2014,1257.58,-41.42,0.9758,0.7891,100
ranking_noise,0.1,2.5557,0.2653,1.9301,1032.21,-44.1,0.9161,0.6918,100
