threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,2.6536,25,100.0,25,True,Robust plateau | baseline inside
0.975,2.7235,13,52.0,9,True,Robust plateau | baseline inside
0.99,2.7654,10,40.0,9,True,Robust plateau | baseline inside
