Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,delta,1,0.0186,0.7194,0.0546,0.2906,377,
Sharpe,delta,1,0.0969,0.0602,0.0487,0.3456,377,
AvgDailyRet%,delta,1,0.0483,0.3495,0.0434,0.401,377,
Calmar,delta,1,0.0314,0.5439,0.041,0.4268,377,
Sortino,delta,1,0.0243,0.6388,0.0275,0.5943,377,
CAGR%,level,1,-0.0461,0.3714,-0.0107,0.8361,378,
Sortino,level,1,0.0238,0.6446,0.0105,0.8385,378,
AvgDailyRet%,level,1,-0.0168,0.7449,-0.0089,0.8626,378,
Calmar,level,1,-0.0396,0.443,0.0085,0.8697,378,
Sharpe,level,1,-0.0152,0.7691,-0.0035,0.9464,378,
Calmar,delta,3,-0.003,0.9539,0.0543,0.2941,375,
Sortino,delta,3,0.0332,0.5218,0.0464,0.3704,375,
CAGR%,delta,3,-0.0069,0.8943,0.0447,0.3875,375,
Sharpe,delta,3,0.0647,0.2113,0.0442,0.3932,375,
AvgDailyRet%,delta,3,0.0275,0.5961,0.0338,0.5147,375,
Sortino,level,3,0.0489,0.3446,0.0205,0.6914,376,
CAGR%,level,3,-0.1015,0.0493,-0.0201,0.6969,376,
AvgDailyRet%,level,3,-0.0482,0.351,-0.0165,0.7499,376,
Sharpe,level,3,-0.0648,0.2098,-0.0152,0.7687,376,
Calmar,level,3,-0.1047,0.0426,-0.0007,0.9888,376,
Calmar,delta,5,-0.0386,0.4574,0.0773,0.136,373,
Sortino,delta,5,0.0655,0.2069,0.075,0.1482,373,
Sharpe,delta,5,0.0902,0.082,0.0745,0.151,373,
CAGR%,delta,5,-0.0434,0.4032,0.0614,0.2369,373,
AvgDailyRet%,delta,5,0.0629,0.2255,0.0571,0.2714,373,
Sharpe,level,5,-0.1001,0.0531,-0.0487,0.3479,374,
CAGR%,level,5,-0.1026,0.0473,-0.0387,0.4561,374,
AvgDailyRet%,level,5,-0.0702,0.1752,-0.0331,0.5234,374,
Calmar,level,5,-0.0982,0.0577,-0.0315,0.5442,374,
Sortino,level,5,0.0159,0.7597,-0.0167,0.7476,374,
