Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,level,1,0.0725,0.1539,0.1294,0.0107,388,yes
Calmar,delta,1,-0.1064,0.0564,0.1104,0.0477,322,yes
Calmar,level,1,-0.0063,0.9098,0.1087,0.0509,323,
CAGR%,level,1,-0.021,0.6801,0.0791,0.1199,388,
Sharpe,level,1,0.0437,0.393,0.0753,0.1403,385,
AvgDailyRet%,level,1,0.0167,0.7435,0.0691,0.1746,388,
Sortino,delta,1,0.0192,0.7067,0.0484,0.3419,387,
CAGR%,delta,1,-0.0047,0.9268,0.0241,0.6367,387,
Sharpe,delta,1,-0.035,0.4944,-0.0133,0.7948,384,
AvgDailyRet%,delta,1,-0.0906,0.075,-0.0087,0.865,387,
Sortino,level,3,0.1065,0.0365,0.2,0.0001,386,yes
AvgDailyRet%,level,3,0.0745,0.1441,0.1565,0.002,386,yes
Sharpe,level,3,0.1008,0.0487,0.1551,0.0023,383,yes
Calmar,level,3,0.0865,0.1206,0.1534,0.0057,323,yes
CAGR%,level,3,0.0508,0.3195,0.1495,0.0032,386,yes
Sortino,delta,3,0.0683,0.1812,0.0734,0.1507,385,
Calmar,delta,3,-0.0004,0.9941,0.0409,0.4643,322,
Sharpe,delta,3,-0.0558,0.277,-0.0273,0.5945,382,
AvgDailyRet%,delta,3,-0.1149,0.0242,-0.0143,0.7794,385,
CAGR%,delta,3,-0.055,0.2821,0.0009,0.9858,385,
Sortino,level,5,0.1057,0.0384,0.2204,0.0,384,yes
AvgDailyRet%,level,5,0.1506,0.0031,0.2137,0.0,384,yes
CAGR%,level,5,0.0765,0.1345,0.2061,0.0,384,yes
Sharpe,level,5,0.144,0.0049,0.1686,0.001,381,yes
Calmar,level,5,0.0544,0.3293,0.1589,0.0042,323,yes
Sortino,delta,5,0.0631,0.2178,0.0829,0.1052,383,
Calmar,delta,5,-0.0006,0.9921,0.0422,0.4503,322,
CAGR%,delta,5,0.0042,0.9346,0.0107,0.8346,383,
AvgDailyRet%,delta,5,-0.0554,0.2798,-0.0089,0.8621,383,
Sharpe,delta,5,-0.0122,0.8127,-0.0041,0.9365,380,
