Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,-0.1667,0.0014,-0.0923,0.0774,367,
AvgDailyRet%,delta,1,-0.1197,0.0218,-0.0828,0.1134,367,
Sharpe,delta,1,-0.1212,0.0202,-0.0814,0.1197,367,
CAGR%,delta,1,-0.0446,0.3947,-0.0642,0.22,367,
Calmar,level,1,-0.0565,0.2799,0.0623,0.2332,368,
Sharpe,level,1,-0.0156,0.7649,0.0506,0.3328,368,
Sortino,level,1,-0.0436,0.404,0.0439,0.4015,368,
CAGR%,level,1,-0.0418,0.4236,0.0433,0.4073,368,
AvgDailyRet%,level,1,-0.031,0.5537,0.0331,0.5262,368,
Calmar,delta,1,-0.0474,0.3649,-0.0017,0.9737,367,
Sortino,level,3,0.0146,0.7804,0.1003,0.0553,366,
Sharpe,level,3,0.015,0.7742,0.0871,0.0961,366,
Calmar,level,3,-0.04,0.4459,0.069,0.188,366,
Sharpe,delta,3,-0.1462,0.0051,-0.0673,0.1996,365,
AvgDailyRet%,delta,3,-0.1351,0.0098,-0.0659,0.2089,365,
CAGR%,level,3,-0.0416,0.4278,0.065,0.2147,366,
AvgDailyRet%,level,3,-0.0164,0.7542,0.0641,0.2209,366,
Sortino,delta,3,-0.0965,0.0656,-0.0521,0.3206,365,
CAGR%,delta,3,-0.022,0.6758,-0.0498,0.3431,365,
Calmar,delta,3,-0.0335,0.5232,-0.029,0.5813,365,
Sortino,level,5,0.041,0.4358,0.1178,0.0246,364,yes
Sharpe,level,5,0.0482,0.3592,0.0936,0.0746,364,
Calmar,level,5,-0.0409,0.4364,0.0886,0.0915,364,
CAGR%,level,5,-0.0512,0.33,0.0637,0.2254,364,
AvgDailyRet%,level,5,0.0024,0.9643,0.0632,0.2293,364,
AvgDailyRet%,delta,5,-0.0834,0.1126,-0.0429,0.4155,363,
Sharpe,delta,5,-0.1031,0.0497,-0.0369,0.4837,363,
CAGR%,delta,5,-0.0192,0.7159,-0.0365,0.4885,363,
Sortino,delta,5,-0.0789,0.1336,-0.0257,0.6249,363,
Calmar,delta,5,-0.0258,0.6247,-0.0188,0.7208,363,
