Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,0.0034,0.9473,0.1033,0.0465,372,yes
Sortino,level,1,-0.0492,0.3402,0.0969,0.0599,378,
CAGR%,level,1,-0.0003,0.9961,0.0882,0.0867,378,
Sharpe,level,1,0.015,0.7717,0.0846,0.1005,378,
AvgDailyRet%,level,1,0.0132,0.7976,0.0791,0.1245,378,
Calmar,delta,1,0.0097,0.8522,0.0399,0.4432,371,
Sharpe,delta,1,-0.0866,0.0931,-0.0204,0.6929,377,
Sortino,delta,1,-0.0049,0.9247,0.0137,0.7916,377,
CAGR%,delta,1,0.013,0.8012,-0.0041,0.9367,377,
AvgDailyRet%,delta,1,-0.0853,0.0981,-0.0038,0.9414,377,
CAGR%,level,3,-0.0209,0.6863,0.1432,0.0054,376,yes
AvgDailyRet%,level,3,0.0582,0.26,0.1409,0.0062,376,yes
Sharpe,level,3,0.0622,0.2288,0.1407,0.0063,376,yes
Sortino,level,3,-0.0894,0.0833,0.1398,0.0066,376,yes
Calmar,level,3,0.0002,0.9977,0.1225,0.0184,370,yes
Calmar,delta,3,0.0139,0.7904,0.06,0.2506,369,
Sharpe,delta,3,-0.0938,0.0698,-0.0206,0.6903,375,
AvgDailyRet%,delta,3,-0.0883,0.0878,-0.018,0.7289,375,
CAGR%,delta,3,0.0139,0.7882,-0.0145,0.7795,375,
Sortino,delta,3,-0.0001,0.9981,-0.0,1.0,375,
CAGR%,level,5,-0.0571,0.271,0.17,0.001,374,yes
AvgDailyRet%,level,5,0.0997,0.0539,0.1698,0.001,374,yes
Sharpe,level,5,0.1072,0.0383,0.164,0.0015,374,yes
Sortino,level,5,-0.1251,0.0155,0.1597,0.0019,374,yes
Calmar,level,5,-0.015,0.7743,0.1501,0.0039,368,yes
Calmar,delta,5,0.0472,0.3673,0.0929,0.0754,367,
Sortino,delta,5,-0.0028,0.9577,0.0846,0.1029,373,
CAGR%,delta,5,0.0355,0.4948,0.0532,0.3052,373,
AvgDailyRet%,delta,5,0.0139,0.7889,0.0491,0.3447,373,
Sharpe,delta,5,0.0067,0.8972,0.0399,0.4419,373,
